dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
CreditCard,FTRL,20,28,0,0.010770,0.010770,1,0.000
CreditCard,FTRL,20,28,1,0.119371,0.130141,1,0.000
CreditCard,FTRL,20,28,2,0.194965,0.325105,1,0.000
CreditCard,FTRL,20,28,3,0.284288,0.609393,1,0.000
CreditCard,FTRL,20,28,4,0.389129,0.998522,1,0.000
CreditCard,FTRL,20,28,5,0.156870,1.155392,1,0.000
CreditCard,FTRL,20,28,6,0.321949,1.477341,1,0.000
CreditCard,FTRL,20,28,7,0.435446,1.912787,1,0.000
CreditCard,FTRL,20,28,8,0.337035,2.249822,1,0.000
CreditCard,FTRL,20,28,9,0.061758,2.311580,1,0.000
CreditCard,FTRL,20,28,10,0.308788,2.620368,1,0.001
CreditCard,FTRL,20,28,11,0.071296,2.691664,1,0.001
CreditCard,FTRL,20,28,12,0.029856,2.721520,1,0.001
CreditCard,FTRL,20,28,13,0.229841,2.951361,1,0.001
CreditCard,FTRL,20,28,14,0.230755,3.182117,1,0.001
CreditCard,FTRL,20,28,15,0.124793,3.306909,1,0.001
CreditCard,FTRL,20,28,16,0.109498,3.416407,1,0.001
CreditCard,FTRL,20,28,17,0.028716,3.445122,1,0.001
CreditCard,FTRL,20,28,18,0.164123,3.609245,1,0.001
CreditCard,FTRL,20,28,19,0.001751,3.610996,1,0.001
CreditCard,FTRL,20,28,20,0.042346,3.653342,1,0.001
CreditCard,FTRL,20,28,21,0.028246,3.681588,1,0.001
CreditCard,FTRL,20,28,22,0.019410,3.700999,1,0.001
CreditCard,FTRL,20,28,23,0.117216,3.818214,1,0.001
CreditCard,FTRL,20,28,24,0.087907,3.906121,1,0.001
CreditCard,FTRL,20,28,25,0.020443,3.926564,1,0.001
CreditCard,FTRL,20,28,26,0.064223,3.990787,1,0.001
CreditCard,FTRL,20,28,27,0.076700,4.067488,1,0.001
CreditCard,FTRL,20,28,28,0.021968,4.089456,1,0.002
CreditCard,FTRL,20,28,29,0.013201,4.102657,1,0.002
CreditCard,FTRL,20,28,30,0.053355,4.156012,1,0.002
CreditCard,FTRL,20,28,31,0.009776,4.165788,1,0.002
CreditCard,FTRL,20,28,32,0.009089,4.174877,1,0.002
CreditCard,FTRL,20,28,33,0.000798,4.175675,1,0.002
CreditCard,FTRL,20,28,34,0.000167,4.175842,1,0.002
CreditCard,FTRL,20,28,35,0.000084,4.175927,1,0.002
CreditCard,FTRL,20,28,36,0.013940,4.189867,1,0.002
CreditCard,FTRL,20,28,37,0.132016,4.321883,1,0.002
CreditCard,FTRL,20,28,38,0.016313,4.338197,1,0.002
CreditCard,FTRL,20,28,39,0.002418,4.340615,1,0.002
CreditCard,FTRL,20,28,40,0.024762,4.365376,1,0.002
CreditCard,FTRL,20,28,41,0.018614,4.383991,1,0.002
CreditCard,FTRL,20,28,42,0.020131,4.404122,1,0.002
CreditCard,FTRL,20,28,43,0.020601,4.424723,1,0.002
CreditCard,FTRL,20,28,44,0.007260,4.431983,1,0.002
CreditCard,FTRL,20,28,45,0.000545,4.432528,1,0.003
CreditCard,FTRL,20,28,46,0.038935,4.471463,1,0.003
CreditCard,FTRL,20,28,47,0.025372,4.496836,1,0.003
CreditCard,FTRL,20,28,48,0.001067,4.497903,1,0.003
CreditCard,FTRL,20,28,49,0.003868,4.501771,1,0.003
CreditCard,FTRL,20,28,50,0.003688,4.505459,1,0.003
CreditCard,FTRL,20,28,51,0.457604,4.963063,1,0.003
CreditCard,FTRL,20,28,52,0.078445,5.041507,1,0.003
CreditCard,FTRL,20,28,53,0.019546,5.061054,1,0.003
CreditCard,FTRL,20,28,54,0.011515,5.072568,1,0.003
CreditCard,FTRL,20,28,55,0.108038,5.180606,1,0.003
CreditCard,FTRL,20,28,56,0.011059,5.191666,1,0.003
CreditCard,FTRL,20,28,57,0.013363,5.205029,1,0.003
CreditCard,FTRL,20,28,58,0.000855,5.205884,1,0.003
CreditCard,FTRL,20,28,59,0.003526,5.209410,1,0.004
CreditCard,FTRL,20,28,60,0.096333,5.305743,1,0.004
CreditCard,FTRL,20,28,61,0.011554,5.317297,1,0.004
CreditCard,FTRL,20,28,62,0.002421,5.319718,1,0.004
CreditCard,FTRL,20,28,63,0.008058,5.327775,1,0.004
CreditCard,FTRL,20,28,64,0.066372,5.394148,1,0.004
CreditCard,FTRL,20,28,65,0.003049,5.397197,1,0.004
CreditCard,FTRL,20,28,66,0.060066,5.457262,1,0.004
CreditCard,FTRL,20,28,67,0.021534,5.478796,1,0.004
CreditCard,FTRL,20,28,68,0.003481,5.482277,1,0.004
CreditCard,FTRL,20,28,69,0.031833,5.514110,1,0.004
CreditCard,FTRL,20,28,70,0.005860,5.519970,1,0.004
CreditCard,FTRL,20,28,71,0.005030,5.525000,1,0.004
CreditCard,FTRL,20,28,72,0.015865,5.540865,1,0.004
CreditCard,FTRL,20,28,73,0.073146,5.614011,1,0.004
CreditCard,FTRL,20,28,74,0.141348,5.755358,1,0.004
CreditCard,FTRL,20,28,75,0.001445,5.756804,1,0.004
CreditCard,FTRL,20,28,76,0.000497,5.757301,1,0.005
CreditCard,FTRL,20,28,77,0.072598,5.829899,1,0.005
CreditCard,FTRL,20,28,78,0.024905,5.854804,1,0.005
CreditCard,FTRL,20,28,79,0.004182,5.858986,1,0.005
CreditCard,FTRL,20,28,80,0.022532,5.881518,1,0.005
CreditCard,FTRL,20,28,81,0.003760,5.885278,1,0.005
CreditCard,FTRL,20,28,82,0.007608,5.892887,1,0.005
CreditCard,FTRL,20,28,83,0.036949,5.929835,1,0.005
CreditCard,FTRL,20,28,84,0.038042,5.967877,1,0.005
CreditCard,FTRL,20,28,85,0.087654,6.055531,1,0.005
CreditCard,FTRL,20,28,86,0.204170,6.259701,1,0.005
CreditCard,FTRL,20,28,87,0.012194,6.271895,1,0.005
CreditCard,FTRL,20,28,88,0.010098,6.281993,1,0.005
CreditCard,FTRL,20,28,89,0.257452,6.539445,1,0.005
CreditCard,FTRL,20,28,90,0.031452,6.570897,1,0.005
CreditCard,FTRL,20,28,91,0.011892,6.582788,1,0.005
CreditCard,FTRL,20,28,92,0.007048,6.589836,1,0.005
CreditCard,FTRL,20,28,93,0.012537,6.602373,1,0.005
CreditCard,FTRL,20,28,94,0.004379,6.606753,1,0.006
CreditCard,FTRL,20,28,95,0.005505,6.612257,1,0.006
CreditCard,FTRL,20,28,96,0.002582,6.614839,1,0.006
CreditCard,FTRL,20,28,97,0.023454,6.638293,1,0.006
CreditCard,FTRL,20,28,98,0.029985,6.668278,1,0.006
CreditCard,FTRL,20,28,99,0.014856,6.683134,1,0.006
CreditCard,FTRL,20,28,100,0.015644,6.698777,1,0.006
CreditCard,FTRL,20,28,101,0.007904,6.706681,1,0.006
CreditCard,FTRL,20,28,102,0.495150,7.201831,1,0.006
CreditCard,FTRL,20,28,103,0.017194,7.219025,1,0.006
CreditCard,FTRL,20,28,104,0.025522,7.244548,1,0.006
CreditCard,FTRL,20,28,105,0.004554,7.249102,1,0.007
CreditCard,FTRL,20,28,106,0.009110,7.258212,1,0.007
CreditCard,FTRL,20,28,107,0.054334,7.312546,1,0.007
CreditCard,FTRL,20,28,108,0.021546,7.334092,1,0.007
CreditCard,FTRL,20,28,109,0.016022,7.350114,1,0.007
CreditCard,FTRL,20,28,110,0.061746,7.411860,1,0.007
CreditCard,FTRL,20,28,111,0.014120,7.425980,1,0.007
CreditCard,FTRL,20,28,112,0.012374,7.438355,1,0.007
CreditCard,FTRL,20,28,113,0.008115,7.446470,1,0.007
CreditCard,FTRL,20,28,114,0.005715,7.452184,1,0.007
CreditCard,FTRL,20,28,115,0.004235,7.456420,1,0.007
CreditCard,FTRL,20,28,116,0.006267,7.462687,1,0.007
CreditCard,FTRL,20,28,117,0.016876,7.479563,1,0.007
CreditCard,FTRL,20,28,118,0.013248,7.492811,1,0.008
