dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
CreditCard,FantopeOGD,10,28,0,1.000000,1.000000,1,0.000
CreditCard,FantopeOGD,10,28,1,1.000000,2.000000,1,0.000
CreditCard,FantopeOGD,10,28,2,1.000000,3.000000,1,0.000
CreditCard,FantopeOGD,10,28,3,1.000000,4.000000,1,0.000
CreditCard,FantopeOGD,10,28,4,1.000000,5.000000,1,0.000
CreditCard,FantopeOGD,10,28,5,1.000000,6.000000,1,0.000
CreditCard,FantopeOGD,10,28,6,1.000000,7.000000,1,0.000
CreditCard,FantopeOGD,10,28,7,1.000000,8.000000,1,0.000
CreditCard,FantopeOGD,10,28,8,1.000000,9.000000,1,0.000
CreditCard,FantopeOGD,10,28,9,1.000000,10.000000,1,0.000
CreditCard,FantopeOGD,10,28,10,1.000000,11.000000,1,0.000
CreditCard,FantopeOGD,10,28,11,1.000000,12.000000,1,0.000
CreditCard,FantopeOGD,10,28,12,1.000000,13.000000,1,0.000
CreditCard,FantopeOGD,10,28,13,1.000000,14.000000,1,0.000
CreditCard,FantopeOGD,10,28,14,1.000000,15.000000,1,0.000
CreditCard,FantopeOGD,10,28,15,1.000000,16.000000,1,0.000
CreditCard,FantopeOGD,10,28,16,1.000000,17.000000,1,0.000
CreditCard,FantopeOGD,10,28,17,1.000000,18.000000,1,0.000
CreditCard,FantopeOGD,10,28,18,1.000000,19.000000,1,0.000
CreditCard,FantopeOGD,10,28,19,1.000000,20.000000,1,0.000
CreditCard,FantopeOGD,10,28,20,1.000000,21.000000,1,0.000
CreditCard,FantopeOGD,10,28,21,1.000000,22.000000,1,0.000
CreditCard,FantopeOGD,10,28,22,1.000000,23.000000,1,0.000
CreditCard,FantopeOGD,10,28,23,1.000000,24.000000,1,0.000
CreditCard,FantopeOGD,10,28,24,1.000000,25.000000,1,0.000
CreditCard,FantopeOGD,10,28,25,1.000000,26.000000,1,0.000
CreditCard,FantopeOGD,10,28,26,1.000000,27.000000,1,0.000
CreditCard,FantopeOGD,10,28,27,1.000000,28.000000,1,0.000
CreditCard,FantopeOGD,10,28,28,0.413265,28.413265,1,0.001
CreditCard,FantopeOGD,10,28,29,0.412158,28.825423,1,0.001
CreditCard,FantopeOGD,10,28,30,0.405217,29.230641,1,0.002
CreditCard,FantopeOGD,10,28,31,0.365374,29.596015,1,0.002
CreditCard,FantopeOGD,10,28,32,0.385456,29.981471,1,0.002
CreditCard,FantopeOGD,10,28,33,0.314897,30.296368,1,0.002
CreditCard,FantopeOGD,10,28,34,0.257315,30.553683,1,0.003
CreditCard,FantopeOGD,10,28,35,0.210241,30.763925,1,0.003
CreditCard,FantopeOGD,10,28,36,0.358845,31.122770,1,0.003
CreditCard,FantopeOGD,10,28,37,0.349737,31.472507,1,0.004
CreditCard,FantopeOGD,10,28,38,0.395443,31.867949,1,0.004
CreditCard,FantopeOGD,10,28,39,0.250746,32.118696,1,0.004
CreditCard,FantopeOGD,10,28,40,0.411585,32.530280,1,0.004
CreditCard,FantopeOGD,10,28,41,0.323273,32.853554,1,0.005
CreditCard,FantopeOGD,10,28,42,0.292167,33.145720,1,0.005
CreditCard,FantopeOGD,10,28,43,0.385484,33.531204,1,0.005
CreditCard,FantopeOGD,10,28,44,0.387952,33.919156,1,0.006
CreditCard,FantopeOGD,10,28,45,0.289575,34.208731,1,0.006
CreditCard,FantopeOGD,10,28,46,0.414088,34.622818,1,0.006
CreditCard,FantopeOGD,10,28,47,0.300507,34.923326,1,0.007
CreditCard,FantopeOGD,10,28,48,0.354860,35.278186,1,0.007
CreditCard,FantopeOGD,10,28,49,0.242875,35.521062,1,0.007
CreditCard,FantopeOGD,10,28,50,0.248879,35.769940,1,0.008
CreditCard,FantopeOGD,10,28,51,0.455839,36.225780,1,0.008
CreditCard,FantopeOGD,10,28,52,0.347195,36.572974,1,0.008
CreditCard,FantopeOGD,10,28,53,0.342702,36.915677,1,0.009
CreditCard,FantopeOGD,10,28,54,0.356405,37.272081,1,0.009
CreditCard,FantopeOGD,10,28,55,0.259155,37.531236,1,0.010
CreditCard,FantopeOGD,10,28,56,0.334230,37.865466,1,0.010
CreditCard,FantopeOGD,10,28,57,0.380200,38.245666,1,0.010
CreditCard,FantopeOGD,10,28,58,0.203639,38.449305,1,0.011
CreditCard,FantopeOGD,10,28,59,0.330794,38.780099,1,0.011
CreditCard,FantopeOGD,10,28,60,0.352490,39.132589,1,0.011
CreditCard,FantopeOGD,10,28,61,0.352256,39.484845,1,0.012
CreditCard,FantopeOGD,10,28,62,0.358193,39.843038,1,0.012
CreditCard,FantopeOGD,10,28,63,0.340103,40.183141,1,0.012
CreditCard,FantopeOGD,10,28,64,0.297343,40.480484,1,0.013
CreditCard,FantopeOGD,10,28,65,0.335577,40.816061,1,0.013
CreditCard,FantopeOGD,10,28,66,0.318623,41.134683,1,0.013
CreditCard,FantopeOGD,10,28,67,0.286676,41.421359,1,0.014
CreditCard,FantopeOGD,10,28,68,0.268730,41.690089,1,0.014
CreditCard,FantopeOGD,10,28,69,0.388812,42.078900,1,0.014
CreditCard,FantopeOGD,10,28,70,0.152084,42.230984,1,0.015
CreditCard,FantopeOGD,10,28,71,0.295351,42.526335,1,0.015
CreditCard,FantopeOGD,10,28,72,0.218254,42.744589,1,0.015
CreditCard,FantopeOGD,10,28,73,0.287242,43.031832,1,0.015
CreditCard,FantopeOGD,10,28,74,0.271656,43.303488,1,0.016
CreditCard,FantopeOGD,10,28,75,0.152899,43.456387,1,0.016
CreditCard,FantopeOGD,10,28,76,0.156101,43.612489,1,0.016
CreditCard,FantopeOGD,10,28,77,0.290957,43.903445,1,0.017
CreditCard,FantopeOGD,10,28,78,0.325945,44.229390,1,0.017
CreditCard,FantopeOGD,10,28,79,0.237830,44.467220,1,0.017
CreditCard,FantopeOGD,10,28,80,0.198465,44.665686,1,0.018
CreditCard,FantopeOGD,10,28,81,0.192602,44.858288,1,0.018
CreditCard,FantopeOGD,10,28,82,0.450643,45.308931,1,0.018
CreditCard,FantopeOGD,10,28,83,0.368883,45.677815,1,0.018
CreditCard,FantopeOGD,10,28,84,0.190222,45.868037,1,0.019
CreditCard,FantopeOGD,10,28,85,0.405784,46.273821,1,0.019
CreditCard,FantopeOGD,10,28,86,0.357165,46.630987,1,0.019
CreditCard,FantopeOGD,10,28,87,0.181596,46.812583,1,0.020
CreditCard,FantopeOGD,10,28,88,0.255560,47.068143,1,0.020
CreditCard,FantopeOGD,10,28,89,0.421346,47.489489,1,0.020
CreditCard,FantopeOGD,10,28,90,0.236334,47.725822,1,0.020
CreditCard,FantopeOGD,10,28,91,0.265304,47.991126,1,0.021
CreditCard,FantopeOGD,10,28,92,0.125177,48.116303,1,0.021
