dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
CreditCard,GrassmannHRD,20,28,0,0.010770,0.010770,1,0.001
CreditCard,GrassmannHRD,20,28,1,0.056562,0.067331,1,0.001
CreditCard,GrassmannHRD,20,28,2,0.055977,0.123309,1,0.002
CreditCard,GrassmannHRD,20,28,3,0.104765,0.228074,1,0.003
CreditCard,GrassmannHRD,20,28,4,0.076370,0.304443,1,0.003
CreditCard,GrassmannHRD,20,28,5,0.078861,0.383304,1,0.004
CreditCard,GrassmannHRD,20,28,6,0.177952,0.561256,1,0.004
CreditCard,GrassmannHRD,20,28,7,0.169035,0.730291,1,0.005
CreditCard,GrassmannHRD,20,28,8,0.051077,0.781368,1,0.006
CreditCard,GrassmannHRD,20,28,9,0.075213,0.856581,6,0.036
CreditCard,GrassmannHRD,20,28,10,0.088032,0.944613,6,0.037
CreditCard,GrassmannHRD,20,28,11,0.188367,1.132980,6,0.038
CreditCard,GrassmannHRD,20,28,12,0.153737,1.286717,7,0.044
CreditCard,GrassmannHRD,20,28,13,0.069970,1.356688,7,0.045
CreditCard,GrassmannHRD,20,28,14,0.102599,1.459286,7,0.046
CreditCard,GrassmannHRD,20,28,15,0.140396,1.599683,7,0.047
CreditCard,GrassmannHRD,20,28,16,0.039907,1.639589,7,0.048
CreditCard,GrassmannHRD,20,28,17,0.171919,1.811508,8,0.054
CreditCard,GrassmannHRD,20,28,18,0.148663,1.960171,8,0.055
CreditCard,GrassmannHRD,20,28,19,0.100271,2.060442,8,0.056
CreditCard,GrassmannHRD,20,28,20,0.052109,2.112551,8,0.056
CreditCard,GrassmannHRD,20,28,21,0.079911,2.192462,8,0.057
CreditCard,GrassmannHRD,20,28,22,0.063528,2.255991,8,0.058
CreditCard,GrassmannHRD,20,28,23,0.128276,2.384267,8,0.059
CreditCard,GrassmannHRD,20,28,24,0.147427,2.531694,8,0.060
CreditCard,GrassmannHRD,20,28,25,0.134819,2.666512,8,0.061
CreditCard,GrassmannHRD,20,28,26,0.116248,2.782760,8,0.061
CreditCard,GrassmannHRD,20,28,27,0.113413,2.896173,8,0.062
CreditCard,GrassmannHRD,20,28,28,0.073599,2.969773,9,0.069
CreditCard,GrassmannHRD,20,28,29,0.048279,3.018051,10,0.075
CreditCard,GrassmannHRD,20,28,30,0.139230,3.157282,10,0.076
CreditCard,GrassmannHRD,20,28,31,0.095174,3.252455,10,0.077
CreditCard,GrassmannHRD,20,28,32,0.075880,3.328335,10,0.078
CreditCard,GrassmannHRD,20,28,33,0.075618,3.403952,10,0.079
CreditCard,GrassmannHRD,20,28,34,0.075138,3.479090,10,0.079
CreditCard,GrassmannHRD,20,28,35,0.074893,3.553983,10,0.080
CreditCard,GrassmannHRD,20,28,36,0.079962,3.633945,10,0.081
CreditCard,GrassmannHRD,20,28,37,0.060475,3.694420,10,0.082
CreditCard,GrassmannHRD,20,28,38,0.048035,3.742455,10,0.083
CreditCard,GrassmannHRD,20,28,39,0.089702,3.832157,11,0.089
CreditCard,GrassmannHRD,20,28,40,0.154074,3.986231,11,0.090
CreditCard,GrassmannHRD,20,28,41,0.052970,4.039201,11,0.091
CreditCard,GrassmannHRD,20,28,42,0.036631,4.075832,11,0.092
CreditCard,GrassmannHRD,20,28,43,0.118854,4.194687,11,0.093
CreditCard,GrassmannHRD,20,28,44,0.089439,4.284126,11,0.094
CreditCard,GrassmannHRD,20,28,45,0.101822,4.385947,11,0.094
CreditCard,GrassmannHRD,20,28,46,0.134325,4.520272,11,0.095
CreditCard,GrassmannHRD,20,28,47,0.250202,4.770474,11,0.096
CreditCard,GrassmannHRD,20,28,48,0.126585,4.897059,11,0.097
CreditCard,GrassmannHRD,20,28,49,0.038876,4.935936,11,0.098
CreditCard,GrassmannHRD,20,28,50,0.163271,5.099206,11,0.099
CreditCard,GrassmannHRD,20,28,51,0.054808,5.154014,11,0.100
CreditCard,GrassmannHRD,20,28,52,0.104322,5.258336,11,0.101
CreditCard,GrassmannHRD,20,28,53,0.043157,5.301494,11,0.102
CreditCard,GrassmannHRD,20,28,54,0.146581,5.448075,11,0.102
CreditCard,GrassmannHRD,20,28,55,0.157466,5.605540,11,0.103
CreditCard,GrassmannHRD,20,28,56,0.047049,5.652589,11,0.104
CreditCard,GrassmannHRD,20,28,57,0.088899,5.741488,11,0.105
CreditCard,GrassmannHRD,20,28,58,0.078514,5.820002,11,0.106
CreditCard,GrassmannHRD,20,28,59,0.071144,5.891146,11,0.107
CreditCard,GrassmannHRD,20,28,60,0.229443,6.120588,12,0.114
CreditCard,GrassmannHRD,20,28,61,0.099903,6.220492,12,0.115
CreditCard,GrassmannHRD,20,28,62,0.077783,6.298274,12,0.116
CreditCard,GrassmannHRD,20,28,63,0.098963,6.397237,12,0.117
CreditCard,GrassmannHRD,20,28,64,0.150658,6.547895,12,0.118
CreditCard,GrassmannHRD,20,28,65,0.099552,6.647447,12,0.119
CreditCard,GrassmannHRD,20,28,66,0.106194,6.753641,13,0.125
CreditCard,GrassmannHRD,20,28,67,0.065537,6.819178,13,0.126
CreditCard,GrassmannHRD,20,28,68,0.060856,6.880033,13,0.127
CreditCard,GrassmannHRD,20,28,69,0.210451,7.090484,13,0.128
CreditCard,GrassmannHRD,20,28,70,0.070072,7.160556,14,0.136
CreditCard,GrassmannHRD,20,28,71,0.058723,7.219280,14,0.137
CreditCard,GrassmannHRD,20,28,72,0.084552,7.303831,14,0.138
CreditCard,GrassmannHRD,20,28,73,0.085253,7.389085,14,0.139
CreditCard,GrassmannHRD,20,28,74,0.073297,7.462382,14,0.140
CreditCard,GrassmannHRD,20,28,75,0.051961,7.514343,14,0.141
CreditCard,GrassmannHRD,20,28,76,0.060209,7.574553,14,0.141
CreditCard,GrassmannHRD,20,28,77,0.265906,7.840458,15,0.148
CreditCard,GrassmannHRD,20,28,78,0.057121,7.897579,16,0.155
CreditCard,GrassmannHRD,20,28,79,0.085895,7.983475,16,0.156
CreditCard,GrassmannHRD,20,28,80,0.115572,8.099047,16,0.157
CreditCard,GrassmannHRD,20,28,81,0.091272,8.190319,16,0.158
CreditCard,GrassmannHRD,20,28,82,0.084989,8.275308,16,0.158
CreditCard,GrassmannHRD,20,28,83,0.099982,8.375291,16,0.159
CreditCard,GrassmannHRD,20,28,84,0.077571,8.452862,16,0.160
CreditCard,GrassmannHRD,20,28,85,0.038055,8.490917,16,0.161
CreditCard,GrassmannHRD,20,28,86,0.043028,8.533945,16,0.163
CreditCard,GrassmannHRD,20,28,87,0.057864,8.591809,16,0.163
CreditCard,GrassmannHRD,20,28,88,0.065694,8.657503,16,0.164
CreditCard,GrassmannHRD,20,28,89,0.152932,8.810435,16,0.165
CreditCard,GrassmannHRD,20,28,90,0.080966,8.891402,16,0.166
CreditCard,GrassmannHRD,20,28,91,0.071290,8.962692,16,0.167
CreditCard,GrassmannHRD,20,28,92,0.060865,9.023557,16,0.168
CreditCard,GrassmannHRD,20,28,93,0.045253,9.068810,16,0.169
CreditCard,GrassmannHRD,20,28,94,0.120577,9.189386,16,0.170
CreditCard,GrassmannHRD,20,28,95,0.037164,9.226550,16,0.171
CreditCard,GrassmannHRD,20,28,96,0.027484,9.254034,16,0.172
CreditCard,GrassmannHRD,20,28,97,0.049324,9.303358,16,0.173
CreditCard,GrassmannHRD,20,28,98,0.040712,9.344070,16,0.174
CreditCard,GrassmannHRD,20,28,99,0.115190,9.459260,16,0.175
CreditCard,GrassmannHRD,20,28,100,0.051848,9.511109,16,0.176
CreditCard,GrassmannHRD,20,28,101,0.088261,9.599370,16,0.177
CreditCard,GrassmannHRD,20,28,102,0.049428,9.648798,16,0.178
CreditCard,GrassmannHRD,20,28,103,0.047008,9.695806,16,0.179
CreditCard,GrassmannHRD,20,28,104,0.144308,9.840113,16,0.180
CreditCard,GrassmannHRD,20,28,105,0.067630,9.907744,16,0.181
CreditCard,GrassmannHRD,20,28,106,0.073281,9.981025,17,0.188
CreditCard,GrassmannHRD,20,28,107,0.041119,10.022143,17,0.189
CreditCard,GrassmannHRD,20,28,108,0.032633,10.054776,17,0.190
CreditCard,GrassmannHRD,20,28,109,0.145260,10.200036,17,0.191
CreditCard,GrassmannHRD,20,28,110,0.061031,10.261067,17,0.192
CreditCard,GrassmannHRD,20,28,111,0.167216,10.428283,18,0.201
CreditCard,GrassmannHRD,20,28,112,0.048383,10.476666,18,0.202
CreditCard,GrassmannHRD,20,28,113,0.048326,10.524992,18,0.203
CreditCard,GrassmannHRD,20,28,114,0.048269,10.573262,18,0.204
CreditCard,GrassmannHRD,20,28,115,0.048212,10.621474,18,0.205
CreditCard,GrassmannHRD,20,28,116,0.040945,10.662419,18,0.206
CreditCard,GrassmannHRD,20,28,117,0.143247,10.805666,18,0.207
CreditCard,GrassmannHRD,20,28,118,0.026444,10.832110,18,0.207
CreditCard,GrassmannHRD,20,28,119,0.109845,10.941955,18,0.208
CreditCard,GrassmannHRD,20,28,120,0.129529,11.071484,18,0.209
CreditCard,GrassmannHRD,20,28,121,0.052599,11.124083,18,0.210
CreditCard,GrassmannHRD,20,28,122,0.095822,11.219905,18,0.211
CreditCard,GrassmannHRD,20,28,123,0.057477,11.277381,19,0.218
CreditCard,GrassmannHRD,20,28,124,0.126111,11.403493,19,0.219
CreditCard,GrassmannHRD,20,28,125,0.064998,11.468491,19,0.220
CreditCard,GrassmannHRD,20,28,126,0.110890,11.579381,19,0.221
CreditCard,GrassmannHRD,20,28,127,0.057409,11.636790,19,0.222
CreditCard,GrassmannHRD,20,28,128,0.084336,11.721126,19,0.223
CreditCard,GrassmannHRD,20,28,129,0.119317,11.840443,19,0.223
CreditCard,GrassmannHRD,20,28,130,0.066097,11.906540,19,0.224
CreditCard,GrassmannHRD,20,28,131,0.054351,11.960891,19,0.225
CreditCard,GrassmannHRD,20,28,132,0.159344,12.120234,19,0.226
CreditCard,GrassmannHRD,20,28,133,0.052488,12.172722,19,0.227
CreditCard,GrassmannHRD,20,28,134,0.066612,12.239334,19,0.228
CreditCard,GrassmannHRD,20,28,135,0.034891,12.274225,19,0.229
CreditCard,GrassmannHRD,20,28,136,0.050376,12.324601,19,0.230
CreditCard,GrassmannHRD,20,28,137,0.219527,12.544128,19,0.231
CreditCard,GrassmannHRD,20,28,138,0.088187,12.632316,19,0.232
CreditCard,GrassmannHRD,20,28,139,0.052249,12.684565,19,0.233
CreditCard,GrassmannHRD,20,28,140,0.058575,12.743140,19,0.234
CreditCard,GrassmannHRD,20,28,141,0.092295,12.835435,19,0.234
CreditCard,GrassmannHRD,20,28,142,0.062175,12.897609,19,0.235
CreditCard,GrassmannHRD,20,28,143,0.052010,12.949620,19,0.236
CreditCard,GrassmannHRD,20,28,144,0.140195,13.089814,19,0.237
CreditCard,GrassmannHRD,20,28,145,0.181775,13.271589,19,0.238
CreditCard,GrassmannHRD,20,28,146,0.124479,13.396068,19,0.239
CreditCard,GrassmannHRD,20,28,147,0.070608,13.466676,19,0.240
CreditCard,GrassmannHRD,20,28,148,0.191691,13.658367,19,0.241
CreditCard,GrassmannHRD,20,28,149,0.144391,13.802758,19,0.242
CreditCard,GrassmannHRD,20,28,150,0.059038,13.861796,19,0.244
CreditCard,GrassmannHRD,20,28,151,0.047052,13.908848,19,0.245
CreditCard,GrassmannHRD,20,28,152,0.096062,14.004910,19,0.246
CreditCard,GrassmannHRD,20,28,153,0.092936,14.097846,19,0.247
CreditCard,GrassmannHRD,20,28,154,0.064956,14.162802,19,0.248
CreditCard,GrassmannHRD,20,28,155,0.096636,14.259438,19,0.249
CreditCard,GrassmannHRD,20,28,156,0.062279,14.321716,19,0.250
CreditCard,GrassmannHRD,20,28,157,0.067509,14.389226,19,0.251
CreditCard,GrassmannHRD,20,28,158,0.115301,14.504526,19,0.252
CreditCard,GrassmannHRD,20,28,159,0.094265,14.598791,19,0.253
CreditCard,GrassmannHRD,20,28,160,0.284396,14.883187,19,0.254
CreditCard,GrassmannHRD,20,28,161,0.083978,14.967165,19,0.255
CreditCard,GrassmannHRD,20,28,162,0.255268,15.222433,20,0.265
CreditCard,GrassmannHRD,20,28,163,0.079459,15.301892,21,0.272
CreditCard,GrassmannHRD,20,28,164,0.211691,15.513584,21,0.273
CreditCard,GrassmannHRD,20,28,165,0.033508,15.547091,22,0.285
CreditCard,GrassmannHRD,20,28,166,0.068477,15.615569,22,0.286
CreditCard,GrassmannHRD,20,28,167,0.081449,15.697018,22,0.287
CreditCard,GrassmannHRD,20,28,168,0.053988,15.751006,22,0.288
CreditCard,GrassmannHRD,20,28,169,0.028352,15.779358,22,0.289
CreditCard,GrassmannHRD,20,28,170,0.193895,15.973252,22,0.290
CreditCard,GrassmannHRD,20,28,171,0.096371,16.069623,22,0.291
CreditCard,GrassmannHRD,20,28,172,0.106182,16.175805,22,0.292
CreditCard,GrassmannHRD,20,28,173,0.031760,16.207565,22,0.293
CreditCard,GrassmannHRD,20,28,174,0.162452,16.370017,22,0.294
CreditCard,GrassmannHRD,20,28,175,0.051224,16.421241,22,0.295
