dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
CreditCard,OfflineOptimum,15,28,0,0.025050,0.025050,1,0.000
CreditCard,OfflineOptimum,15,28,1,0.044806,0.069856,1,0.000
CreditCard,OfflineOptimum,15,28,2,0.101880,0.171736,1,0.000
CreditCard,OfflineOptimum,15,28,3,0.062045,0.233781,1,0.000
CreditCard,OfflineOptimum,15,28,4,0.065910,0.299691,1,0.000
CreditCard,OfflineOptimum,15,28,5,0.023844,0.323535,1,0.000
CreditCard,OfflineOptimum,15,28,6,0.038598,0.362133,1,0.000
CreditCard,OfflineOptimum,15,28,7,0.245982,0.608115,1,0.000
CreditCard,OfflineOptimum,15,28,8,0.056539,0.664654,1,0.000
CreditCard,OfflineOptimum,15,28,9,0.015063,0.679718,1,0.000
CreditCard,OfflineOptimum,15,28,10,0.026640,0.706358,1,0.000
CreditCard,OfflineOptimum,15,28,11,0.101831,0.808189,1,0.000
CreditCard,OfflineOptimum,15,28,12,0.073545,0.881733,1,0.000
CreditCard,OfflineOptimum,15,28,13,0.008646,0.890380,1,0.000
CreditCard,OfflineOptimum,15,28,14,0.339196,1.229576,1,0.000
CreditCard,OfflineOptimum,15,28,15,0.104117,1.333693,1,0.000
CreditCard,OfflineOptimum,15,28,16,0.038788,1.372480,1,0.000
CreditCard,OfflineOptimum,15,28,17,0.034245,1.406726,1,0.000
CreditCard,OfflineOptimum,15,28,18,0.323253,1.729979,1,0.000
CreditCard,OfflineOptimum,15,28,19,0.042886,1.772865,1,0.000
CreditCard,OfflineOptimum,15,28,20,0.102679,1.875544,1,0.000
CreditCard,OfflineOptimum,15,28,21,0.045198,1.920742,1,0.000
CreditCard,OfflineOptimum,15,28,22,0.036390,1.957132,1,0.000
CreditCard,OfflineOptimum,15,28,23,0.242109,2.199241,1,0.000
CreditCard,OfflineOptimum,15,28,24,0.163434,2.362675,1,0.000
CreditCard,OfflineOptimum,15,28,25,0.205618,2.568293,1,0.000
CreditCard,OfflineOptimum,15,28,26,0.067688,2.635981,1,0.000
CreditCard,OfflineOptimum,15,28,27,0.047475,2.683456,1,0.000
CreditCard,OfflineOptimum,15,28,28,0.021651,2.705107,1,0.000
CreditCard,OfflineOptimum,15,28,29,0.034655,2.739762,1,0.000
CreditCard,OfflineOptimum,15,28,30,0.013943,2.753705,1,0.000
CreditCard,OfflineOptimum,15,28,31,0.012457,2.766162,1,0.000
CreditCard,OfflineOptimum,15,28,32,0.057815,2.823977,1,0.000
CreditCard,OfflineOptimum,15,28,33,0.057815,2.881792,1,0.000
CreditCard,OfflineOptimum,15,28,34,0.056576,2.938368,1,0.000
