dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
CreditCard,StreamingSVD,15,28,0,0.042901,0.042901,1,0.000
CreditCard,StreamingSVD,15,28,1,0.167339,0.210240,1,0.000
CreditCard,StreamingSVD,15,28,2,0.245928,0.456168,1,0.000
CreditCard,StreamingSVD,15,28,3,0.506391,0.962559,1,0.000
CreditCard,StreamingSVD,15,28,4,0.412216,1.374775,1,0.000
CreditCard,StreamingSVD,15,28,5,0.392506,1.767282,1,0.000
CreditCard,StreamingSVD,15,28,6,0.141663,1.908945,1,0.000
CreditCard,StreamingSVD,15,28,7,0.583362,2.492307,1,0.001
CreditCard,StreamingSVD,15,28,8,0.380884,2.873191,1,0.001
CreditCard,StreamingSVD,15,28,9,0.072009,2.945200,1,0.001
CreditCard,StreamingSVD,15,28,10,0.177371,3.122571,1,0.001
CreditCard,StreamingSVD,15,28,11,0.125752,3.248323,1,0.001
CreditCard,StreamingSVD,15,28,12,0.052719,3.301042,1,0.001
CreditCard,StreamingSVD,15,28,13,0.369688,3.670730,1,0.001
CreditCard,StreamingSVD,15,28,14,0.335988,4.006718,1,0.001
CreditCard,StreamingSVD,15,28,15,0.328432,4.335151,1,0.001
CreditCard,StreamingSVD,15,28,16,0.157148,4.492298,1,0.001
CreditCard,StreamingSVD,15,28,17,0.051002,4.543300,1,0.001
CreditCard,StreamingSVD,15,28,18,0.380785,4.924085,1,0.001
CreditCard,StreamingSVD,15,28,19,0.005726,4.929811,1,0.001
CreditCard,StreamingSVD,15,28,20,0.088662,5.018473,1,0.001
CreditCard,StreamingSVD,15,28,21,0.165763,5.184236,1,0.001
CreditCard,StreamingSVD,15,28,22,0.032359,5.216595,1,0.001
CreditCard,StreamingSVD,15,28,23,0.214004,5.430600,1,0.001
CreditCard,StreamingSVD,15,28,24,0.160349,5.590949,1,0.001
CreditCard,StreamingSVD,15,28,25,0.078863,5.669812,1,0.001
CreditCard,StreamingSVD,15,28,26,0.286470,5.956282,1,0.002
CreditCard,StreamingSVD,15,28,27,0.160259,6.116542,1,0.002
CreditCard,StreamingSVD,15,28,28,0.154326,6.270867,1,0.002
CreditCard,StreamingSVD,15,28,29,0.078082,6.348949,1,0.002
CreditCard,StreamingSVD,15,28,30,0.065886,6.414836,1,0.002
CreditCard,StreamingSVD,15,28,31,0.083684,6.498520,1,0.002
CreditCard,StreamingSVD,15,28,32,0.199147,6.697667,1,0.002
CreditCard,StreamingSVD,15,28,33,0.009614,6.707281,1,0.002
CreditCard,StreamingSVD,15,28,34,0.002344,6.709625,1,0.002
CreditCard,StreamingSVD,15,28,35,0.001064,6.710689,1,0.002
CreditCard,StreamingSVD,15,28,36,0.122100,6.832789,1,0.002
CreditCard,StreamingSVD,15,28,37,0.313730,7.146519,1,0.002
CreditCard,StreamingSVD,15,28,38,0.089832,7.236351,1,0.003
CreditCard,StreamingSVD,15,28,39,0.026503,7.262854,1,0.003
CreditCard,StreamingSVD,15,28,40,0.099487,7.362341,1,0.003
CreditCard,StreamingSVD,15,28,41,0.126811,7.489151,1,0.003
CreditCard,StreamingSVD,15,28,42,0.065040,7.554192,1,0.003
CreditCard,StreamingSVD,15,28,43,0.132226,7.686417,1,0.003
CreditCard,StreamingSVD,15,28,44,0.075373,7.761790,1,0.003
CreditCard,StreamingSVD,15,28,45,0.019294,7.781084,1,0.003
CreditCard,StreamingSVD,15,28,46,0.258415,8.039499,1,0.003
CreditCard,StreamingSVD,15,28,47,0.217347,8.256846,1,0.003
CreditCard,StreamingSVD,15,28,48,0.093463,8.350309,1,0.003
CreditCard,StreamingSVD,15,28,49,0.015080,8.365389,1,0.003
CreditCard,StreamingSVD,15,28,50,0.022121,8.387510,1,0.004
CreditCard,StreamingSVD,15,28,51,0.723663,9.111173,1,0.004
CreditCard,StreamingSVD,15,28,52,0.136681,9.247854,1,0.004
CreditCard,StreamingSVD,15,28,53,0.085268,9.333122,1,0.004
CreditCard,StreamingSVD,15,28,54,0.046841,9.379963,1,0.004
CreditCard,StreamingSVD,15,28,55,0.229886,9.609850,1,0.004
CreditCard,StreamingSVD,15,28,56,0.173500,9.783350,1,0.004
CreditCard,StreamingSVD,15,28,57,0.032143,9.815492,1,0.004
CreditCard,StreamingSVD,15,28,58,0.029203,9.844696,1,0.004
CreditCard,StreamingSVD,15,28,59,0.022327,9.867023,1,0.004
CreditCard,StreamingSVD,15,28,60,0.184034,10.051057,1,0.004
CreditCard,StreamingSVD,15,28,61,0.128942,10.179999,1,0.004
CreditCard,StreamingSVD,15,28,62,0.106164,10.286163,1,0.004
CreditCard,StreamingSVD,15,28,63,0.014461,10.300624,1,0.004
CreditCard,StreamingSVD,15,28,64,0.152154,10.452778,1,0.004
CreditCard,StreamingSVD,15,28,65,0.070066,10.522845,1,0.004
CreditCard,StreamingSVD,15,28,66,0.141726,10.664571,1,0.005
CreditCard,StreamingSVD,15,28,67,0.080631,10.745202,1,0.005
CreditCard,StreamingSVD,15,28,68,0.027878,10.773080,1,0.005
CreditCard,StreamingSVD,15,28,69,0.149882,10.922963,1,0.005
CreditCard,StreamingSVD,15,28,70,0.038795,10.961758,1,0.005
CreditCard,StreamingSVD,15,28,71,0.013037,10.974795,1,0.005
CreditCard,StreamingSVD,15,28,72,0.076186,11.050981,1,0.005
CreditCard,StreamingSVD,15,28,73,0.134192,11.185173,1,0.005
CreditCard,StreamingSVD,15,28,74,0.304411,11.489584,1,0.005
CreditCard,StreamingSVD,15,28,75,0.017690,11.507273,1,0.005
CreditCard,StreamingSVD,15,28,76,0.065714,11.572988,1,0.005
CreditCard,StreamingSVD,15,28,77,0.186574,11.759562,1,0.005
CreditCard,StreamingSVD,15,28,78,0.178168,11.937729,1,0.005
CreditCard,StreamingSVD,15,28,79,0.016374,11.954104,1,0.005
CreditCard,StreamingSVD,15,28,80,0.061991,12.016095,1,0.005
CreditCard,StreamingSVD,15,28,81,0.042845,12.058940,1,0.005
CreditCard,StreamingSVD,15,28,82,0.668028,12.726968,1,0.005
CreditCard,StreamingSVD,15,28,83,0.062674,12.789642,1,0.005
CreditCard,StreamingSVD,15,28,84,0.059195,12.848837,1,0.006
CreditCard,StreamingSVD,15,28,85,0.143699,12.992537,1,0.006
CreditCard,StreamingSVD,15,28,86,0.292179,13.284715,1,0.006
CreditCard,StreamingSVD,15,28,87,0.030566,13.315281,1,0.006
CreditCard,StreamingSVD,15,28,88,0.027100,13.342381,1,0.006
CreditCard,StreamingSVD,15,28,89,0.561175,13.903556,1,0.006
CreditCard,StreamingSVD,15,28,90,0.049101,13.952657,1,0.006
CreditCard,StreamingSVD,15,28,91,0.192419,14.145076,1,0.006
CreditCard,StreamingSVD,15,28,92,0.017015,14.162091,1,0.006
CreditCard,StreamingSVD,15,28,93,0.078569,14.240661,1,0.006
CreditCard,StreamingSVD,15,28,94,0.014861,14.255521,1,0.006
