dataset,algorithm,k,d,trial,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,FTRL,10,50,0,0,0.184943,0.184943,1,0.002
MNIST,FTRL,10,50,0,1,0.561028,0.745971,1,0.002
MNIST,FTRL,10,50,0,2,0.377098,1.123069,1,0.002
MNIST,FTRL,10,50,0,3,0.556401,1.679470,1,0.002
MNIST,FTRL,10,50,0,4,0.488544,2.168013,1,0.002
MNIST,FTRL,10,50,0,5,0.385650,2.553664,1,0.002
MNIST,FTRL,10,50,0,6,0.361042,2.914706,1,0.002
MNIST,FTRL,10,50,0,7,0.249035,3.163741,1,0.002
MNIST,FTRL,10,50,0,8,0.305313,3.469053,1,0.002
MNIST,FTRL,10,50,0,9,0.464076,3.933129,1,0.003
MNIST,FTRL,10,50,0,10,0.528962,4.462090,1,0.003
MNIST,FTRL,10,50,0,11,0.614682,5.076772,1,0.003
MNIST,FTRL,10,50,0,12,0.319194,5.395967,1,0.003
MNIST,FTRL,10,50,0,13,0.443599,5.839566,1,0.003
MNIST,FTRL,10,50,0,14,0.384692,6.224258,1,0.003
MNIST,FTRL,10,50,0,15,0.371421,6.595679,1,0.003
MNIST,FTRL,10,50,0,16,0.258273,6.853952,1,0.004
MNIST,FTRL,10,50,0,17,0.452254,7.306206,1,0.004
MNIST,FTRL,10,50,0,18,0.663664,7.969870,1,0.004
MNIST,FTRL,10,50,0,19,0.563791,8.533661,1,0.004
MNIST,FTRL,10,50,0,20,0.147605,8.681266,1,0.004
MNIST,FTRL,10,50,0,21,0.334046,9.015311,1,0.004
MNIST,FTRL,10,50,0,22,0.350444,9.365756,1,0.004
MNIST,FTRL,10,50,0,23,0.288773,9.654529,1,0.005
MNIST,FTRL,10,50,0,24,0.318689,9.973217,1,0.005
MNIST,FTRL,10,50,0,25,0.193471,10.166688,1,0.005
MNIST,FTRL,10,50,0,26,0.513513,10.680201,1,0.005
MNIST,FTRL,10,50,0,27,0.490253,11.170455,1,0.005
MNIST,FTRL,10,50,0,28,0.179396,11.349850,1,0.005
MNIST,FTRL,10,50,0,29,0.192511,11.542361,1,0.005
MNIST,FTRL,10,50,0,30,0.495042,12.037404,1,0.005
MNIST,FTRL,10,50,0,31,0.141155,12.178559,1,0.006
MNIST,FTRL,10,50,0,32,0.262416,12.440976,1,0.006
MNIST,FTRL,10,50,0,33,0.202342,12.643318,1,0.006
MNIST,FTRL,10,50,0,34,0.206865,12.850182,1,0.006
MNIST,FTRL,10,50,0,35,0.289490,13.139673,1,0.006
MNIST,FTRL,10,50,0,36,0.184810,13.324483,1,0.006
MNIST,FTRL,10,50,0,37,0.471016,13.795499,1,0.006
MNIST,FTRL,10,50,0,38,0.108391,13.903890,1,0.007
MNIST,FTRL,10,50,0,39,0.302070,14.205959,1,0.007
MNIST,FTRL,10,50,0,40,0.198816,14.404776,1,0.007
MNIST,FTRL,10,50,0,41,0.366446,14.771222,1,0.007
MNIST,FTRL,10,50,0,42,0.497123,15.268346,1,0.007
MNIST,FTRL,10,50,0,43,0.307561,15.575907,1,0.007
MNIST,FTRL,10,50,0,44,0.311221,15.887128,1,0.007
MNIST,FTRL,10,50,0,45,0.445087,16.332215,1,0.007
MNIST,FTRL,10,50,0,46,0.348406,16.680621,1,0.008
MNIST,FTRL,10,50,0,47,0.209407,16.890028,1,0.008
MNIST,FTRL,10,50,0,48,0.433800,17.323828,1,0.008
MNIST,FTRL,10,50,0,49,0.416760,17.740588,1,0.008
MNIST,FTRL,10,50,0,50,0.218436,17.959024,1,0.008
MNIST,FTRL,10,50,0,51,0.358679,18.317703,1,0.009
MNIST,FTRL,10,50,0,52,0.498463,18.816166,1,0.009
MNIST,FTRL,10,50,0,53,0.415857,19.232023,1,0.009
MNIST,FTRL,10,50,0,54,0.311065,19.543088,1,0.009
MNIST,FTRL,10,50,0,55,0.264812,19.807900,1,0.009
MNIST,FTRL,10,50,0,56,0.197244,20.005144,1,0.009
MNIST,FTRL,10,50,0,57,0.312352,20.317497,1,0.010
MNIST,FTRL,10,50,0,58,0.357747,20.675244,1,0.010
MNIST,FTRL,10,50,0,59,0.198754,20.873998,1,0.010
MNIST,FTRL,10,50,0,60,0.223214,21.097212,1,0.010
MNIST,FTRL,10,50,0,61,0.207212,21.304424,1,0.010
MNIST,FTRL,10,50,0,62,0.255158,21.559582,1,0.010
MNIST,FTRL,10,50,0,63,0.410216,21.969798,1,0.010
MNIST,FTRL,10,50,0,64,0.296549,22.266348,1,0.011
MNIST,FTRL,10,50,0,65,0.257212,22.523560,1,0.011
MNIST,FTRL,10,50,0,66,0.329639,22.853199,1,0.011
MNIST,FTRL,10,50,0,67,0.104669,22.957868,1,0.011
MNIST,FTRL,10,50,0,68,0.338879,23.296747,1,0.011
MNIST,FTRL,10,50,0,69,0.175114,23.471861,1,0.011
MNIST,FTRL,10,50,0,70,0.202649,23.674511,1,0.012
MNIST,FTRL,10,50,0,71,0.152636,23.827147,1,0.012
MNIST,FTRL,10,50,0,72,0.332921,24.160068,1,0.012
MNIST,FTRL,10,50,0,73,0.094184,24.254252,1,0.012
MNIST,FTRL,10,50,0,74,0.465841,24.720093,1,0.012
MNIST,FTRL,10,50,0,75,0.343255,25.063348,1,0.013
MNIST,FTRL,10,50,0,76,0.263715,25.327063,1,0.013
MNIST,FTRL,10,50,0,77,0.152506,25.479569,1,0.013
MNIST,FTRL,10,50,0,78,0.418077,25.897646,1,0.013
MNIST,FTRL,10,50,0,79,0.428237,26.325883,1,0.013
MNIST,FTRL,10,50,0,80,0.057039,26.382922,1,0.013
MNIST,FTRL,10,50,0,81,0.382933,26.765856,1,0.014
MNIST,FTRL,10,50,0,82,0.258885,27.024741,1,0.014
MNIST,FTRL,10,50,0,83,0.276990,27.301730,1,0.014
MNIST,FTRL,10,50,0,84,0.264389,27.566120,1,0.014
MNIST,FTRL,10,50,0,85,0.316513,27.882633,1,0.014
MNIST,FTRL,10,50,0,86,0.108463,27.991096,1,0.015
