dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,FantopeOGD,15,50,0,1.000000,1.000000,1,0.000
MNIST,FantopeOGD,15,50,1,1.000000,2.000000,1,0.000
MNIST,FantopeOGD,15,50,2,1.000000,3.000000,1,0.000
MNIST,FantopeOGD,15,50,3,1.000000,4.000000,1,0.000
MNIST,FantopeOGD,15,50,4,1.000000,5.000000,1,0.000
MNIST,FantopeOGD,15,50,5,1.000000,6.000000,1,0.000
MNIST,FantopeOGD,15,50,6,1.000000,7.000000,1,0.000
MNIST,FantopeOGD,15,50,7,1.000000,8.000000,1,0.000
MNIST,FantopeOGD,15,50,8,1.000000,9.000000,1,0.000
MNIST,FantopeOGD,15,50,9,1.000000,10.000000,1,0.000
MNIST,FantopeOGD,15,50,10,1.000000,11.000000,1,0.000
MNIST,FantopeOGD,15,50,11,1.000000,12.000000,1,0.000
MNIST,FantopeOGD,15,50,12,1.000000,13.000000,1,0.000
MNIST,FantopeOGD,15,50,13,1.000000,14.000000,1,0.000
MNIST,FantopeOGD,15,50,14,1.000000,15.000000,1,0.000
MNIST,FantopeOGD,15,50,15,1.000000,16.000000,1,0.000
MNIST,FantopeOGD,15,50,16,1.000000,17.000000,1,0.000
MNIST,FantopeOGD,15,50,17,1.000000,18.000000,1,0.000
MNIST,FantopeOGD,15,50,18,1.000000,19.000000,1,0.000
MNIST,FantopeOGD,15,50,19,1.000000,20.000000,1,0.000
MNIST,FantopeOGD,15,50,20,1.000000,21.000000,1,0.000
MNIST,FantopeOGD,15,50,21,1.000000,22.000000,1,0.000
MNIST,FantopeOGD,15,50,22,1.000000,23.000000,1,0.000
MNIST,FantopeOGD,15,50,23,1.000000,24.000000,1,0.000
MNIST,FantopeOGD,15,50,24,1.000000,25.000000,1,0.000
MNIST,FantopeOGD,15,50,25,1.000000,26.000000,1,0.000
MNIST,FantopeOGD,15,50,26,1.000000,27.000000,1,0.000
MNIST,FantopeOGD,15,50,27,1.000000,28.000000,1,0.000
MNIST,FantopeOGD,15,50,28,1.000000,29.000000,1,0.000
MNIST,FantopeOGD,15,50,29,1.000000,30.000000,1,0.000
MNIST,FantopeOGD,15,50,30,1.000000,31.000000,1,0.000
MNIST,FantopeOGD,15,50,31,1.000000,32.000000,1,0.000
MNIST,FantopeOGD,15,50,32,1.000000,33.000000,1,0.000
MNIST,FantopeOGD,15,50,33,1.000000,34.000000,1,0.000
MNIST,FantopeOGD,15,50,34,1.000000,35.000000,1,0.000
MNIST,FantopeOGD,15,50,35,1.000000,36.000000,1,0.000
MNIST,FantopeOGD,15,50,36,1.000000,37.000000,1,0.000
MNIST,FantopeOGD,15,50,37,1.000000,38.000000,1,0.000
MNIST,FantopeOGD,15,50,38,1.000000,39.000000,1,0.000
MNIST,FantopeOGD,15,50,39,1.000000,40.000000,1,0.000
MNIST,FantopeOGD,15,50,40,1.000000,41.000000,1,0.000
MNIST,FantopeOGD,15,50,41,1.000000,42.000000,1,0.000
MNIST,FantopeOGD,15,50,42,1.000000,43.000000,1,0.000
MNIST,FantopeOGD,15,50,43,1.000000,44.000000,1,0.000
MNIST,FantopeOGD,15,50,44,1.000000,45.000000,1,0.001
MNIST,FantopeOGD,15,50,45,0.452290,45.452290,1,0.002
MNIST,FantopeOGD,15,50,46,0.419165,45.871454,1,0.002
