dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,GrassmannHRD,10,50,0,0.331411,0.331411,1,0.000
MNIST,GrassmannHRD,10,50,1,0.156037,0.487449,1,0.001
MNIST,GrassmannHRD,10,50,2,0.446420,0.933868,1,0.001
MNIST,GrassmannHRD,10,50,3,0.196564,1.130433,1,0.001
MNIST,GrassmannHRD,10,50,4,0.237143,1.367576,1,0.001
MNIST,GrassmannHRD,10,50,5,0.323671,1.691246,1,0.002
MNIST,GrassmannHRD,10,50,6,0.358921,2.050167,1,0.002
MNIST,GrassmannHRD,10,50,7,0.110375,2.160543,1,0.002
MNIST,GrassmannHRD,10,50,8,0.401562,2.562104,1,0.002
MNIST,GrassmannHRD,10,50,9,0.336981,2.899085,7,0.019
MNIST,GrassmannHRD,10,50,10,0.166869,3.065954,7,0.019
MNIST,GrassmannHRD,10,50,11,0.453280,3.519234,7,0.020
MNIST,GrassmannHRD,10,50,12,0.234127,3.753361,7,0.020
MNIST,GrassmannHRD,10,50,13,0.194652,3.948013,7,0.021
MNIST,GrassmannHRD,10,50,14,0.400744,4.348756,7,0.021
MNIST,GrassmannHRD,10,50,15,0.238426,4.587183,7,0.021
MNIST,GrassmannHRD,10,50,16,0.290534,4.877717,7,0.022
MNIST,GrassmannHRD,10,50,17,0.227554,5.105271,7,0.022
MNIST,GrassmannHRD,10,50,18,0.369092,5.474363,7,0.023
MNIST,GrassmannHRD,10,50,19,0.290676,5.765039,7,0.023
MNIST,GrassmannHRD,10,50,20,0.247016,6.012055,7,0.024
MNIST,GrassmannHRD,10,50,21,0.205054,6.217109,7,0.024
MNIST,GrassmannHRD,10,50,22,0.352591,6.569701,7,0.025
MNIST,GrassmannHRD,10,50,23,0.266649,6.836349,7,0.025
MNIST,GrassmannHRD,10,50,24,0.365524,7.201874,7,0.026
MNIST,GrassmannHRD,10,50,25,0.184871,7.386744,7,0.027
MNIST,GrassmannHRD,10,50,26,0.370706,7.757450,7,0.027
MNIST,GrassmannHRD,10,50,27,0.155287,7.912737,7,0.027
MNIST,GrassmannHRD,10,50,28,0.297120,8.209856,7,0.028
MNIST,GrassmannHRD,10,50,29,0.432702,8.642558,7,0.028
MNIST,GrassmannHRD,10,50,30,0.391420,9.033978,7,0.029
MNIST,GrassmannHRD,10,50,31,0.310422,9.344400,7,0.029
MNIST,GrassmannHRD,10,50,32,0.269208,9.613608,7,0.030
MNIST,GrassmannHRD,10,50,33,0.304235,9.917843,7,0.030
MNIST,GrassmannHRD,10,50,34,0.219294,10.137137,7,0.031
MNIST,GrassmannHRD,10,50,35,0.463999,10.601136,7,0.031
MNIST,GrassmannHRD,10,50,36,0.183366,10.784502,7,0.032
MNIST,GrassmannHRD,10,50,37,0.152505,10.937007,7,0.032
MNIST,GrassmannHRD,10,50,38,0.412382,11.349389,7,0.033
MNIST,GrassmannHRD,10,50,39,0.149148,11.498536,7,0.033
MNIST,GrassmannHRD,10,50,40,0.258036,11.756573,7,0.033
MNIST,GrassmannHRD,10,50,41,0.271747,12.028320,7,0.034
MNIST,GrassmannHRD,10,50,42,0.342669,12.370988,7,0.034
MNIST,GrassmannHRD,10,50,43,0.290277,12.661265,7,0.035
MNIST,GrassmannHRD,10,50,44,0.388157,13.049422,7,0.035
MNIST,GrassmannHRD,10,50,45,0.242469,13.291891,7,0.036
MNIST,GrassmannHRD,10,50,46,0.311587,13.603478,7,0.036
MNIST,GrassmannHRD,10,50,47,0.400987,14.004464,7,0.037
MNIST,GrassmannHRD,10,50,48,0.359626,14.364090,7,0.037
MNIST,GrassmannHRD,10,50,49,0.152435,14.516526,7,0.037
MNIST,GrassmannHRD,10,50,50,0.232899,14.749425,7,0.038
MNIST,GrassmannHRD,10,50,51,0.153007,14.902431,7,0.039
MNIST,GrassmannHRD,10,50,52,0.231023,15.133455,7,0.039
MNIST,GrassmannHRD,10,50,53,0.353495,15.486949,7,0.040
MNIST,GrassmannHRD,10,50,54,0.351927,15.838876,7,0.040
MNIST,GrassmannHRD,10,50,55,0.210506,16.049382,7,0.041
MNIST,GrassmannHRD,10,50,56,0.219402,16.268783,7,0.041
MNIST,GrassmannHRD,10,50,57,0.239367,16.508150,7,0.042
MNIST,GrassmannHRD,10,50,58,0.154068,16.662218,7,0.042
MNIST,GrassmannHRD,10,50,59,0.252475,16.914692,7,0.043
MNIST,GrassmannHRD,10,50,60,0.408252,17.322944,7,0.043
MNIST,GrassmannHRD,10,50,61,0.312792,17.635736,7,0.043
MNIST,GrassmannHRD,10,50,62,0.206893,17.842630,7,0.044
MNIST,GrassmannHRD,10,50,63,0.272981,18.115611,7,0.044
MNIST,GrassmannHRD,10,50,64,0.402219,18.517829,7,0.045
MNIST,GrassmannHRD,10,50,65,0.447250,18.965079,8,0.053
MNIST,GrassmannHRD,10,50,66,0.238484,19.203564,8,0.053
MNIST,GrassmannHRD,10,50,67,0.229487,19.433051,8,0.054
MNIST,GrassmannHRD,10,50,68,0.445787,19.878838,8,0.054
MNIST,GrassmannHRD,10,50,69,0.175940,20.054778,8,0.055
MNIST,GrassmannHRD,10,50,70,0.241639,20.296417,8,0.056
MNIST,GrassmannHRD,10,50,71,0.395454,20.691871,8,0.057
MNIST,GrassmannHRD,10,50,72,0.295494,20.987365,8,0.058
MNIST,GrassmannHRD,10,50,73,0.245915,21.233280,8,0.059
MNIST,GrassmannHRD,10,50,74,0.229268,21.462548,8,0.060
MNIST,GrassmannHRD,10,50,75,0.202905,21.665453,8,0.061
MNIST,GrassmannHRD,10,50,76,0.261228,21.926681,8,0.062
MNIST,GrassmannHRD,10,50,77,0.227003,22.153683,8,0.063
MNIST,GrassmannHRD,10,50,78,0.160708,22.314391,8,0.064
MNIST,GrassmannHRD,10,50,79,0.360851,22.675242,8,0.065
MNIST,GrassmannHRD,10,50,80,0.348805,23.024046,8,0.066
MNIST,GrassmannHRD,10,50,81,0.139938,23.163984,8,0.067
