dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,OfflineOptimum,15,50,0,0.218604,0.218604,1,0.000
MNIST,OfflineOptimum,15,50,1,0.116213,0.334817,1,0.000
MNIST,OfflineOptimum,15,50,2,0.231380,0.566197,1,0.000
MNIST,OfflineOptimum,15,50,3,0.098118,0.664315,1,0.000
MNIST,OfflineOptimum,15,50,4,0.134598,0.798913,1,0.000
MNIST,OfflineOptimum,15,50,5,0.231587,1.030499,1,0.000
MNIST,OfflineOptimum,15,50,6,0.116775,1.147274,1,0.000
MNIST,OfflineOptimum,15,50,7,0.053870,1.201144,1,0.000
MNIST,OfflineOptimum,15,50,8,0.131167,1.332311,1,0.000
MNIST,OfflineOptimum,15,50,9,0.123442,1.455752,1,0.000
MNIST,OfflineOptimum,15,50,10,0.099690,1.555442,1,0.000
MNIST,OfflineOptimum,15,50,11,0.329235,1.884677,1,0.000
MNIST,OfflineOptimum,15,50,12,0.147941,2.032618,1,0.000
MNIST,OfflineOptimum,15,50,13,0.144249,2.176867,1,0.000
MNIST,OfflineOptimum,15,50,14,0.111857,2.288724,1,0.000
MNIST,OfflineOptimum,15,50,15,0.059174,2.347897,1,0.000
MNIST,OfflineOptimum,15,50,16,0.285206,2.633104,1,0.000
MNIST,OfflineOptimum,15,50,17,0.121864,2.754968,1,0.000
MNIST,OfflineOptimum,15,50,18,0.248385,3.003352,1,0.000
MNIST,OfflineOptimum,15,50,19,0.147180,3.150532,1,0.000
MNIST,OfflineOptimum,15,50,20,0.190307,3.340839,1,0.000
MNIST,OfflineOptimum,15,50,21,0.111626,3.452464,1,0.000
MNIST,OfflineOptimum,15,50,22,0.158545,3.611010,1,0.000
MNIST,OfflineOptimum,15,50,23,0.087287,3.698297,1,0.000
MNIST,OfflineOptimum,15,50,24,0.298920,3.997216,1,0.000
MNIST,OfflineOptimum,15,50,25,0.111899,4.109115,1,0.000
MNIST,OfflineOptimum,15,50,26,0.159384,4.268499,1,0.000
MNIST,OfflineOptimum,15,50,27,0.058348,4.326847,1,0.000
MNIST,OfflineOptimum,15,50,28,0.260848,4.587694,1,0.000
MNIST,OfflineOptimum,15,50,29,0.243591,4.831286,1,0.000
MNIST,OfflineOptimum,15,50,30,0.308737,5.140023,1,0.000
MNIST,OfflineOptimum,15,50,31,0.144673,5.284696,1,0.000
MNIST,OfflineOptimum,15,50,32,0.185063,5.469759,1,0.000
MNIST,OfflineOptimum,15,50,33,0.122750,5.592509,1,0.000
MNIST,OfflineOptimum,15,50,34,0.124425,5.716934,1,0.000
MNIST,OfflineOptimum,15,50,35,0.242413,5.959346,1,0.000
MNIST,OfflineOptimum,15,50,36,0.119495,6.078842,1,0.000
MNIST,OfflineOptimum,15,50,37,0.090743,6.169585,1,0.000
MNIST,OfflineOptimum,15,50,38,0.257393,6.426977,1,0.000
MNIST,OfflineOptimum,15,50,39,0.065308,6.492285,1,0.000
MNIST,OfflineOptimum,15,50,40,0.050341,6.542626,1,0.000
MNIST,OfflineOptimum,15,50,41,0.126736,6.669362,1,0.000
MNIST,OfflineOptimum,15,50,42,0.212501,6.881864,1,0.000
MNIST,OfflineOptimum,15,50,43,0.116859,6.998722,1,0.000
MNIST,OfflineOptimum,15,50,44,0.232115,7.230837,1,0.000
MNIST,OfflineOptimum,15,50,45,0.130908,7.361745,1,0.000
MNIST,OfflineOptimum,15,50,46,0.195626,7.557371,1,0.000
MNIST,OfflineOptimum,15,50,47,0.333822,7.891193,1,0.000
MNIST,OfflineOptimum,15,50,48,0.199524,8.090717,1,0.000
MNIST,OfflineOptimum,15,50,49,0.102316,8.193033,1,0.000
MNIST,OfflineOptimum,15,50,50,0.206278,8.399311,1,0.000
MNIST,OfflineOptimum,15,50,51,0.126069,8.525380,1,0.000
MNIST,OfflineOptimum,15,50,52,0.144377,8.669758,1,0.000
MNIST,OfflineOptimum,15,50,53,0.188636,8.858394,1,0.000
MNIST,OfflineOptimum,15,50,54,0.254339,9.112733,1,0.000
MNIST,OfflineOptimum,15,50,55,0.139245,9.251978,1,0.000
MNIST,OfflineOptimum,15,50,56,0.122137,9.374115,1,0.000
MNIST,OfflineOptimum,15,50,57,0.102802,9.476917,1,0.001
MNIST,OfflineOptimum,15,50,58,0.130367,9.607284,1,0.001
MNIST,OfflineOptimum,15,50,59,0.088711,9.695995,1,0.001
MNIST,OfflineOptimum,15,50,60,0.284732,9.980727,1,0.001
MNIST,OfflineOptimum,15,50,61,0.172986,10.153713,1,0.001
MNIST,OfflineOptimum,15,50,62,0.100710,10.254424,1,0.001
MNIST,OfflineOptimum,15,50,63,0.213124,10.467547,1,0.001
MNIST,OfflineOptimum,15,50,64,0.268014,10.735561,1,0.001
MNIST,OfflineOptimum,15,50,65,0.313085,11.048646,1,0.001
MNIST,OfflineOptimum,15,50,66,0.139216,11.187862,1,0.001
MNIST,OfflineOptimum,15,50,67,0.069025,11.256887,1,0.001
MNIST,OfflineOptimum,15,50,68,0.340176,11.597063,1,0.001
MNIST,OfflineOptimum,15,50,69,0.103418,11.700481,1,0.001
MNIST,OfflineOptimum,15,50,70,0.139169,11.839651,1,0.001
MNIST,OfflineOptimum,15,50,71,0.089416,11.929066,1,0.001
MNIST,OfflineOptimum,15,50,72,0.072907,12.001973,1,0.001
MNIST,OfflineOptimum,15,50,73,0.153691,12.155665,1,0.001
MNIST,OfflineOptimum,15,50,74,0.155232,12.310896,1,0.001
MNIST,OfflineOptimum,15,50,75,0.150514,12.461410,1,0.001
MNIST,OfflineOptimum,15,50,76,0.253718,12.715128,1,0.001
MNIST,OfflineOptimum,15,50,77,0.078214,12.793342,1,0.001
MNIST,OfflineOptimum,15,50,78,0.050956,12.844298,1,0.001
MNIST,OfflineOptimum,15,50,79,0.119848,12.964146,1,0.001
MNIST,OfflineOptimum,15,50,80,0.216912,13.181058,1,0.001
MNIST,OfflineOptimum,15,50,81,0.087155,13.268212,1,0.001
MNIST,OfflineOptimum,15,50,82,0.193837,13.462050,1,0.001
MNIST,OfflineOptimum,15,50,83,0.222250,13.684300,1,0.001
MNIST,OfflineOptimum,15,50,84,0.221861,13.906161,1,0.001
MNIST,OfflineOptimum,15,50,85,0.141747,14.047908,1,0.001
MNIST,OfflineOptimum,15,50,86,0.336964,14.384872,1,0.001
MNIST,OfflineOptimum,15,50,87,0.084239,14.469111,1,0.001
MNIST,OfflineOptimum,15,50,88,0.160382,14.629493,1,0.001
MNIST,OfflineOptimum,15,50,89,0.178038,14.807531,1,0.001
MNIST,OfflineOptimum,15,50,90,0.084500,14.892031,1,0.001
MNIST,OfflineOptimum,15,50,91,0.095443,14.987474,1,0.001
MNIST,OfflineOptimum,15,50,92,0.198388,15.185862,1,0.001
MNIST,OfflineOptimum,15,50,93,0.126336,15.312198,1,0.001
MNIST,OfflineOptimum,15,50,94,0.156519,15.468717,1,0.001
MNIST,OfflineOptimum,15,50,95,0.081200,15.549917,1,0.001
MNIST,OfflineOptimum,15,50,96,0.125921,15.675838,1,0.001
MNIST,OfflineOptimum,15,50,97,0.095352,15.771190,1,0.001
MNIST,OfflineOptimum,15,50,98,0.152440,15.923631,1,0.001
MNIST,OfflineOptimum,15,50,99,0.110672,16.034303,1,0.001
MNIST,OfflineOptimum,15,50,100,0.361879,16.396182,1,0.001
MNIST,OfflineOptimum,15,50,101,0.170750,16.566932,1,0.001
MNIST,OfflineOptimum,15,50,102,0.106147,16.673079,1,0.001
MNIST,OfflineOptimum,15,50,103,0.119901,16.792980,1,0.001
MNIST,OfflineOptimum,15,50,104,0.166294,16.959273,1,0.001
MNIST,OfflineOptimum,15,50,105,0.094227,17.053501,1,0.001
MNIST,OfflineOptimum,15,50,106,0.180981,17.234482,1,0.001
MNIST,OfflineOptimum,15,50,107,0.092682,17.327164,1,0.001
MNIST,OfflineOptimum,15,50,108,0.319688,17.646852,1,0.001
MNIST,OfflineOptimum,15,50,109,0.454671,18.101523,1,0.001
MNIST,OfflineOptimum,15,50,110,0.257657,18.359180,1,0.001
MNIST,OfflineOptimum,15,50,111,0.125179,18.484358,1,0.001
MNIST,OfflineOptimum,15,50,112,0.085761,18.570119,1,0.001
MNIST,OfflineOptimum,15,50,113,0.063043,18.633162,1,0.001
MNIST,OfflineOptimum,15,50,114,0.105479,18.738642,1,0.001
MNIST,OfflineOptimum,15,50,115,0.127339,18.865980,1,0.001
MNIST,OfflineOptimum,15,50,116,0.110159,18.976139,1,0.001
MNIST,OfflineOptimum,15,50,117,0.212778,19.188917,1,0.001
MNIST,OfflineOptimum,15,50,118,0.166282,19.355199,1,0.001
MNIST,OfflineOptimum,15,50,119,0.079943,19.435143,1,0.001
