dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
MNIST,StreamingSVD,10,50,0,0.331411,0.331411,1,0.006
MNIST,StreamingSVD,10,50,1,0.254857,0.586268,1,0.006
MNIST,StreamingSVD,10,50,2,0.609671,1.195939,1,0.006
MNIST,StreamingSVD,10,50,3,0.420515,1.616453,1,0.006
MNIST,StreamingSVD,10,50,4,0.447140,2.063594,1,0.006
MNIST,StreamingSVD,10,50,5,0.412872,2.476466,1,0.007
MNIST,StreamingSVD,10,50,6,0.536115,3.012580,1,0.007
MNIST,StreamingSVD,10,50,7,0.211425,3.224006,1,0.007
MNIST,StreamingSVD,10,50,8,0.127049,3.351055,1,0.007
MNIST,StreamingSVD,10,50,9,0.484358,3.835414,1,0.007
MNIST,StreamingSVD,10,50,10,0.268498,4.103912,1,0.007
MNIST,StreamingSVD,10,50,11,0.464268,4.568180,1,0.007
MNIST,StreamingSVD,10,50,12,0.459882,5.028062,1,0.007
MNIST,StreamingSVD,10,50,13,0.439585,5.467647,1,0.008
MNIST,StreamingSVD,10,50,14,0.210026,5.677673,1,0.008
MNIST,StreamingSVD,10,50,15,0.431438,6.109111,1,0.008
MNIST,StreamingSVD,10,50,16,0.430295,6.539405,1,0.008
MNIST,StreamingSVD,10,50,17,0.241659,6.781065,1,0.008
MNIST,StreamingSVD,10,50,18,0.567429,7.348494,1,0.008
MNIST,StreamingSVD,10,50,19,0.221534,7.570028,1,0.008
MNIST,StreamingSVD,10,50,20,0.283684,7.853713,1,0.008
MNIST,StreamingSVD,10,50,21,0.153786,8.007498,1,0.008
MNIST,StreamingSVD,10,50,22,0.229897,8.237395,1,0.009
MNIST,StreamingSVD,10,50,23,0.087545,8.324940,1,0.009
MNIST,StreamingSVD,10,50,24,0.435990,8.760931,1,0.009
MNIST,StreamingSVD,10,50,25,0.308137,9.069068,1,0.009
MNIST,StreamingSVD,10,50,26,0.500803,9.569870,1,0.009
MNIST,StreamingSVD,10,50,27,0.100910,9.670780,1,0.009
MNIST,StreamingSVD,10,50,28,0.449585,10.120365,1,0.009
MNIST,StreamingSVD,10,50,29,0.361368,10.481733,1,0.009
MNIST,StreamingSVD,10,50,30,0.444683,10.926416,1,0.010
MNIST,StreamingSVD,10,50,31,0.246180,11.172597,1,0.010
MNIST,StreamingSVD,10,50,32,0.406016,11.578613,1,0.010
MNIST,StreamingSVD,10,50,33,0.135431,11.714044,1,0.010
MNIST,StreamingSVD,10,50,34,0.292203,12.006247,1,0.010
MNIST,StreamingSVD,10,50,35,0.512408,12.518655,1,0.010
MNIST,StreamingSVD,10,50,36,0.182454,12.701109,1,0.010
MNIST,StreamingSVD,10,50,37,0.182794,12.883903,1,0.011
MNIST,StreamingSVD,10,50,38,0.459515,13.343418,1,0.011
MNIST,StreamingSVD,10,50,39,0.103397,13.446815,1,0.011
MNIST,StreamingSVD,10,50,40,0.298009,13.744825,1,0.011
MNIST,StreamingSVD,10,50,41,0.218709,13.963534,1,0.011
MNIST,StreamingSVD,10,50,42,0.245558,14.209092,1,0.011
MNIST,StreamingSVD,10,50,43,0.218805,14.427897,1,0.011
MNIST,StreamingSVD,10,50,44,0.397258,14.825155,1,0.011
MNIST,StreamingSVD,10,50,45,0.226034,15.051189,1,0.012
MNIST,StreamingSVD,10,50,46,0.342486,15.393675,1,0.012
