dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
SyntheticClustered,FTRL,2,5,0,0.903557,0.903557,1,0.000
SyntheticClustered,FTRL,2,5,1,0.695657,1.599214,1,0.000
SyntheticClustered,FTRL,2,5,2,0.597995,2.197209,1,0.000
SyntheticClustered,FTRL,2,5,3,0.890285,3.087494,1,0.000
SyntheticClustered,FTRL,2,5,4,0.377804,3.465298,1,0.000
SyntheticClustered,FTRL,2,5,5,0.360199,3.825497,1,0.000
SyntheticClustered,FTRL,2,5,6,0.128992,3.954490,1,0.000
SyntheticClustered,FTRL,2,5,7,0.489050,4.443540,1,0.000
SyntheticClustered,FTRL,2,5,8,0.245511,4.689051,1,0.000
SyntheticClustered,FTRL,2,5,9,0.306121,4.995172,1,0.000
SyntheticClustered,FTRL,2,5,10,0.278400,5.273572,1,0.000
SyntheticClustered,FTRL,2,5,11,0.679828,5.953400,1,0.000
SyntheticClustered,FTRL,2,5,12,0.179455,6.132856,1,0.000
SyntheticClustered,FTRL,2,5,13,0.050549,6.183405,1,0.000
SyntheticClustered,FTRL,2,5,14,0.147841,6.331246,1,0.000
SyntheticClustered,FTRL,2,5,15,0.173686,6.504931,1,0.001
SyntheticClustered,FTRL,2,5,16,0.197741,6.702672,1,0.001
SyntheticClustered,FTRL,2,5,17,0.568376,7.271048,1,0.001
SyntheticClustered,FTRL,2,5,18,0.047783,7.318831,1,0.001
SyntheticClustered,FTRL,2,5,19,0.158035,7.476866,1,0.001
SyntheticClustered,FTRL,2,5,20,0.345530,7.822397,1,0.001
SyntheticClustered,FTRL,2,5,21,0.171366,7.993762,1,0.001
SyntheticClustered,FTRL,2,5,22,0.478825,8.472587,1,0.001
SyntheticClustered,FTRL,2,5,23,0.018791,8.491378,1,0.001
SyntheticClustered,FTRL,2,5,24,0.466483,8.957861,1,0.001
SyntheticClustered,FTRL,2,5,25,0.273389,9.231250,1,0.001
SyntheticClustered,FTRL,2,5,26,0.226041,9.457292,1,0.001
SyntheticClustered,FTRL,2,5,27,0.305821,9.763113,1,0.001
SyntheticClustered,FTRL,2,5,28,0.310495,10.073608,1,0.001
SyntheticClustered,FTRL,2,5,29,0.284712,10.358320,1,0.001
SyntheticClustered,FTRL,2,5,30,0.184248,10.542568,1,0.001
SyntheticClustered,FTRL,2,5,31,0.165766,10.708334,1,0.001
SyntheticClustered,FTRL,2,5,32,0.396752,11.105086,1,0.001
SyntheticClustered,FTRL,2,5,33,0.119885,11.224971,1,0.001
SyntheticClustered,FTRL,2,5,34,0.229386,11.454357,1,0.001
SyntheticClustered,FTRL,2,5,35,0.248935,11.703293,1,0.001
SyntheticClustered,FTRL,2,5,36,0.021434,11.724726,1,0.001
SyntheticClustered,FTRL,2,5,37,0.394786,12.119512,1,0.001
SyntheticClustered,FTRL,2,5,38,0.507449,12.626961,1,0.001
SyntheticClustered,FTRL,2,5,39,0.383921,13.010882,1,0.001
SyntheticClustered,FTRL,2,5,40,0.363121,13.374003,1,0.001
SyntheticClustered,FTRL,2,5,41,0.255797,13.629799,1,0.001
SyntheticClustered,FTRL,2,5,42,0.619435,14.249234,1,0.001
SyntheticClustered,FTRL,2,5,43,0.342420,14.591654,1,0.001
SyntheticClustered,FTRL,2,5,44,0.283738,14.875392,1,0.001
SyntheticClustered,FTRL,2,5,45,0.625047,15.500439,1,0.001
SyntheticClustered,FTRL,2,5,46,0.352611,15.853051,1,0.001
SyntheticClustered,FTRL,2,5,47,0.357402,16.210452,1,0.001
SyntheticClustered,FTRL,2,5,48,0.201093,16.411545,1,0.001
SyntheticClustered,FTRL,2,5,49,0.200617,16.612163,1,0.001
SyntheticClustered,FTRL,2,5,50,0.109803,16.721966,1,0.001
SyntheticClustered,FTRL,2,5,51,0.234219,16.956185,1,0.002
SyntheticClustered,FTRL,2,5,52,0.435502,17.391687,1,0.002
SyntheticClustered,FTRL,2,5,53,0.013087,17.404774,1,0.002
SyntheticClustered,FTRL,2,5,54,0.092357,17.497131,1,0.002
SyntheticClustered,FTRL,2,5,55,0.260347,17.757478,1,0.002
SyntheticClustered,FTRL,2,5,56,0.243937,18.001415,1,0.002
SyntheticClustered,FTRL,2,5,57,0.441829,18.443244,1,0.002
SyntheticClustered,FTRL,2,5,58,0.670527,19.113771,1,0.002
SyntheticClustered,FTRL,2,5,59,0.081787,19.195558,1,0.002
SyntheticClustered,FTRL,2,5,60,0.026090,19.221648,1,0.002
SyntheticClustered,FTRL,2,5,61,0.806835,20.028483,1,0.002
SyntheticClustered,FTRL,2,5,62,0.175194,20.203677,1,0.002
SyntheticClustered,FTRL,2,5,63,0.488499,20.692176,1,0.002
SyntheticClustered,FTRL,2,5,64,0.433301,21.125477,1,0.002
SyntheticClustered,FTRL,2,5,65,0.674981,21.800458,1,0.002
SyntheticClustered,FTRL,2,5,66,0.491865,22.292324,1,0.002
SyntheticClustered,FTRL,2,5,67,0.692716,22.985040,1,0.002
SyntheticClustered,FTRL,2,5,68,0.188560,23.173601,1,0.002
SyntheticClustered,FTRL,2,5,69,0.314377,23.487977,1,0.002
SyntheticClustered,FTRL,2,5,70,0.410940,23.898917,1,0.002
SyntheticClustered,FTRL,2,5,71,0.314009,24.212926,1,0.002
SyntheticClustered,FTRL,2,5,72,0.293594,24.506519,1,0.002
SyntheticClustered,FTRL,2,5,73,0.391371,24.897890,1,0.002
SyntheticClustered,FTRL,2,5,74,0.444929,25.342819,1,0.002
SyntheticClustered,FTRL,2,5,75,0.216197,25.559017,1,0.002
SyntheticClustered,FTRL,2,5,76,0.376562,25.935579,1,0.002
SyntheticClustered,FTRL,2,5,77,0.170167,26.105746,1,0.002
SyntheticClustered,FTRL,2,5,78,0.368142,26.473888,1,0.002
SyntheticClustered,FTRL,2,5,79,0.228916,26.702804,1,0.002
SyntheticClustered,FTRL,2,5,80,0.193390,26.896194,1,0.002
SyntheticClustered,FTRL,2,5,81,0.285715,27.181909,1,0.002
SyntheticClustered,FTRL,2,5,82,0.450885,27.632794,1,0.002
SyntheticClustered,FTRL,2,5,83,0.217566,27.850361,1,0.002
SyntheticClustered,FTRL,2,5,84,0.138896,27.989256,1,0.002
SyntheticClustered,FTRL,2,5,85,0.456352,28.445609,1,0.002
SyntheticClustered,FTRL,2,5,86,0.617747,29.063356,1,0.002
SyntheticClustered,FTRL,2,5,87,0.146072,29.209427,1,0.002
SyntheticClustered,FTRL,2,5,88,0.546026,29.755453,1,0.002
SyntheticClustered,FTRL,2,5,89,0.763603,30.519056,1,0.002
SyntheticClustered,FTRL,2,5,90,0.116623,30.635679,1,0.002
SyntheticClustered,FTRL,2,5,91,0.250230,30.885910,1,0.002
SyntheticClustered,FTRL,2,5,92,0.285590,31.171500,1,0.002
SyntheticClustered,FTRL,2,5,93,0.097664,31.269164,1,0.002
SyntheticClustered,FTRL,2,5,94,0.084217,31.353381,1,0.002
SyntheticClustered,FTRL,2,5,95,0.186641,31.540022,1,0.002
SyntheticClustered,FTRL,2,5,96,0.428198,31.968220,1,0.002
SyntheticClustered,FTRL,2,5,97,0.441119,32.409339,1,0.002
SyntheticClustered,FTRL,2,5,98,0.492043,32.901382,1,0.002
SyntheticClustered,FTRL,2,5,99,0.174876,33.076258,1,0.002
SyntheticClustered,FTRL,2,5,100,0.754479,33.830737,1,0.003
SyntheticClustered,FTRL,2,5,101,0.335008,34.165745,1,0.003
SyntheticClustered,FTRL,2,5,102,0.232816,34.398562,1,0.003
SyntheticClustered,FTRL,2,5,103,0.120925,34.519486,1,0.003
SyntheticClustered,FTRL,2,5,104,0.413548,34.933034,1,0.003
SyntheticClustered,FTRL,2,5,105,0.082091,35.015125,1,0.003
SyntheticClustered,FTRL,2,5,106,0.493576,35.508701,1,0.003
SyntheticClustered,FTRL,2,5,107,0.276194,35.784895,1,0.003
SyntheticClustered,FTRL,2,5,108,0.191690,35.976586,1,0.003
SyntheticClustered,FTRL,2,5,109,0.224689,36.201275,1,0.003
SyntheticClustered,FTRL,2,5,110,0.220417,36.421692,1,0.003
SyntheticClustered,FTRL,2,5,111,0.102111,36.523803,1,0.003
SyntheticClustered,FTRL,2,5,112,0.524214,37.048017,1,0.003
SyntheticClustered,FTRL,2,5,113,0.739750,37.787767,1,0.003
SyntheticClustered,FTRL,2,5,114,0.415023,38.202790,1,0.003
SyntheticClustered,FTRL,2,5,115,0.254146,38.456936,1,0.003
