dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
SyntheticClustered,FantopeOGD,2,5,0,1.000000,1.000000,1,0.000
SyntheticClustered,FantopeOGD,2,5,1,1.000000,2.000000,1,0.000
SyntheticClustered,FantopeOGD,2,5,2,1.000000,3.000000,1,0.000
SyntheticClustered,FantopeOGD,2,5,3,1.000000,4.000000,1,0.000
SyntheticClustered,FantopeOGD,2,5,4,1.000000,5.000000,1,0.000
SyntheticClustered,FantopeOGD,2,5,5,1.000000,6.000000,1,0.000
SyntheticClustered,FantopeOGD,2,5,6,1.000000,7.000000,1,0.000
SyntheticClustered,FantopeOGD,2,5,7,1.000000,8.000000,1,0.000
SyntheticClustered,FantopeOGD,2,5,8,1.000000,9.000000,1,0.000
SyntheticClustered,FantopeOGD,2,5,9,1.000000,10.000000,1,0.000
SyntheticClustered,FantopeOGD,2,5,10,0.360000,10.360000,1,0.000
SyntheticClustered,FantopeOGD,2,5,11,0.364565,10.724565,1,0.001
SyntheticClustered,FantopeOGD,2,5,12,0.366953,11.091518,1,0.001
SyntheticClustered,FantopeOGD,2,5,13,0.349403,11.440922,1,0.001
SyntheticClustered,FantopeOGD,2,5,14,0.346919,11.787841,1,0.002
SyntheticClustered,FantopeOGD,2,5,15,0.351431,12.139271,1,0.002
SyntheticClustered,FantopeOGD,2,5,16,0.336181,12.475452,1,0.002
SyntheticClustered,FantopeOGD,2,5,17,0.359508,12.834960,1,0.002
SyntheticClustered,FantopeOGD,2,5,18,0.336731,13.171691,1,0.003
SyntheticClustered,FantopeOGD,2,5,19,0.332767,13.504457,1,0.003
SyntheticClustered,FantopeOGD,2,5,20,0.335232,13.839689,1,0.003
SyntheticClustered,FantopeOGD,2,5,21,0.348497,14.188186,1,0.003
SyntheticClustered,FantopeOGD,2,5,22,0.342059,14.530245,1,0.004
SyntheticClustered,FantopeOGD,2,5,23,0.322581,14.852826,1,0.004
SyntheticClustered,FantopeOGD,2,5,24,0.356590,15.209415,1,0.004
SyntheticClustered,FantopeOGD,2,5,25,0.325776,15.535192,1,0.004
SyntheticClustered,FantopeOGD,2,5,26,0.306305,15.841497,1,0.005
SyntheticClustered,FantopeOGD,2,5,27,0.343651,16.185147,1,0.005
SyntheticClustered,FantopeOGD,2,5,28,0.326340,16.511487,1,0.005
SyntheticClustered,FantopeOGD,2,5,29,0.313804,16.825291,1,0.005
SyntheticClustered,FantopeOGD,2,5,30,0.329991,17.155282,1,0.006
SyntheticClustered,FantopeOGD,2,5,31,0.285825,17.441108,1,0.006
SyntheticClustered,FantopeOGD,2,5,32,0.321888,17.762996,1,0.006
SyntheticClustered,FantopeOGD,2,5,33,0.327496,18.090492,1,0.006
SyntheticClustered,FantopeOGD,2,5,34,0.309828,18.400320,1,0.007
SyntheticClustered,FantopeOGD,2,5,35,0.304126,18.704446,1,0.007
SyntheticClustered,FantopeOGD,2,5,36,0.293433,18.997879,1,0.007
SyntheticClustered,FantopeOGD,2,5,37,0.316757,19.314636,1,0.008
SyntheticClustered,FantopeOGD,2,5,38,0.341005,19.655641,1,0.008
SyntheticClustered,FantopeOGD,2,5,39,0.337879,19.993520,1,0.008
SyntheticClustered,FantopeOGD,2,5,40,0.312369,20.305889,1,0.009
SyntheticClustered,FantopeOGD,2,5,41,0.287164,20.593053,1,0.009
