dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
SyntheticClustered,GrassmannHRD,2,5,0,0.903557,0.903557,1,0.000
SyntheticClustered,GrassmannHRD,2,5,1,0.192557,1.096114,1,0.000
SyntheticClustered,GrassmannHRD,2,5,2,0.874719,1.970833,1,0.000
SyntheticClustered,GrassmannHRD,2,5,3,0.141259,2.112092,1,0.000
SyntheticClustered,GrassmannHRD,2,5,4,0.443146,2.555238,1,0.001
SyntheticClustered,GrassmannHRD,2,5,5,0.816334,3.371572,1,0.001
SyntheticClustered,GrassmannHRD,2,5,6,0.098903,3.470475,1,0.001
SyntheticClustered,GrassmannHRD,2,5,7,0.239968,3.710443,1,0.001
SyntheticClustered,GrassmannHRD,2,5,8,0.807064,4.517507,1,0.001
SyntheticClustered,GrassmannHRD,2,5,9,0.193858,4.711365,7,0.007
SyntheticClustered,GrassmannHRD,2,5,10,0.065111,4.776476,7,0.007
SyntheticClustered,GrassmannHRD,2,5,11,0.946147,5.722623,7,0.007
SyntheticClustered,GrassmannHRD,2,5,12,0.176322,5.898946,7,0.007
SyntheticClustered,GrassmannHRD,2,5,13,0.295024,6.193970,7,0.007
SyntheticClustered,GrassmannHRD,2,5,14,0.839203,7.033173,7,0.008
SyntheticClustered,GrassmannHRD,2,5,15,0.218787,7.251959,7,0.008
SyntheticClustered,GrassmannHRD,2,5,16,0.241588,7.493547,7,0.008
SyntheticClustered,GrassmannHRD,2,5,17,0.911369,8.404916,7,0.008
SyntheticClustered,GrassmannHRD,2,5,18,0.148584,8.553500,7,0.008
SyntheticClustered,GrassmannHRD,2,5,19,0.428573,8.982073,7,0.008
SyntheticClustered,GrassmannHRD,2,5,20,0.926661,9.908734,7,0.009
SyntheticClustered,GrassmannHRD,2,5,21,0.346979,10.255713,7,0.009
SyntheticClustered,GrassmannHRD,2,5,22,0.272886,10.528599,7,0.009
SyntheticClustered,GrassmannHRD,2,5,23,0.670647,11.199246,7,0.009
SyntheticClustered,GrassmannHRD,2,5,24,0.757802,11.957048,7,0.009
SyntheticClustered,GrassmannHRD,2,5,25,0.272545,12.229593,7,0.009
SyntheticClustered,GrassmannHRD,2,5,26,0.925515,13.155108,10,0.013
SyntheticClustered,GrassmannHRD,2,5,27,0.301221,13.456329,10,0.013
SyntheticClustered,GrassmannHRD,2,5,28,0.437471,13.893800,10,0.013
SyntheticClustered,GrassmannHRD,2,5,29,0.662274,14.556074,10,0.014
SyntheticClustered,GrassmannHRD,2,5,30,0.195578,14.751651,10,0.014
SyntheticClustered,GrassmannHRD,2,5,31,0.331200,15.082851,10,0.015
SyntheticClustered,GrassmannHRD,2,5,32,0.837453,15.920304,10,0.015
SyntheticClustered,GrassmannHRD,2,5,33,0.341851,16.262155,10,0.015
SyntheticClustered,GrassmannHRD,2,5,34,0.424793,16.686948,10,0.016
SyntheticClustered,GrassmannHRD,2,5,35,0.915162,17.602110,10,0.016
SyntheticClustered,GrassmannHRD,2,5,36,0.086232,17.688342,10,0.016
SyntheticClustered,GrassmannHRD,2,5,37,0.223742,17.912084,10,0.017
SyntheticClustered,GrassmannHRD,2,5,38,0.895949,18.808033,10,0.017
SyntheticClustered,GrassmannHRD,2,5,39,0.116083,18.924116,10,0.018
SyntheticClustered,GrassmannHRD,2,5,40,0.423552,19.347668,10,0.018
SyntheticClustered,GrassmannHRD,2,5,41,0.741079,20.088747,10,0.018
SyntheticClustered,GrassmannHRD,2,5,42,0.593289,20.682036,10,0.019
SyntheticClustered,GrassmannHRD,2,5,43,0.220887,20.902923,10,0.019
SyntheticClustered,GrassmannHRD,2,5,44,0.735344,21.638268,10,0.019
SyntheticClustered,GrassmannHRD,2,5,45,0.776075,22.414343,10,0.020
SyntheticClustered,GrassmannHRD,2,5,46,0.311606,22.725948,10,0.020
SyntheticClustered,GrassmannHRD,2,5,47,0.785842,23.511791,10,0.021
SyntheticClustered,GrassmannHRD,2,5,48,0.187167,23.698958,10,0.021
SyntheticClustered,GrassmannHRD,2,5,49,0.379177,24.078135,10,0.021
SyntheticClustered,GrassmannHRD,2,5,50,0.801594,24.879728,10,0.022
SyntheticClustered,GrassmannHRD,2,5,51,0.586719,25.466447,10,0.022
SyntheticClustered,GrassmannHRD,2,5,52,0.164545,25.630992,10,0.023
SyntheticClustered,GrassmannHRD,2,5,53,0.657519,26.288511,10,0.023
SyntheticClustered,GrassmannHRD,2,5,54,0.078055,26.366566,10,0.024
SyntheticClustered,GrassmannHRD,2,5,55,0.774660,27.141226,10,0.024
SyntheticClustered,GrassmannHRD,2,5,56,0.555423,27.696649,10,0.024
SyntheticClustered,GrassmannHRD,2,5,57,0.101713,27.798362,10,0.025
SyntheticClustered,GrassmannHRD,2,5,58,0.615646,28.414008,10,0.025
SyntheticClustered,GrassmannHRD,2,5,59,0.701713,29.115721,10,0.025
SyntheticClustered,GrassmannHRD,2,5,60,0.133471,29.249192,10,0.025
SyntheticClustered,GrassmannHRD,2,5,61,0.645020,29.894212,10,0.026
SyntheticClustered,GrassmannHRD,2,5,62,0.574310,30.468522,10,0.026
SyntheticClustered,GrassmannHRD,2,5,63,0.337601,30.806123,10,0.026
SyntheticClustered,GrassmannHRD,2,5,64,0.309624,31.115747,11,0.028
SyntheticClustered,GrassmannHRD,2,5,65,0.715033,31.830781,12,0.029
SyntheticClustered,GrassmannHRD,2,5,66,0.544779,32.375560,12,0.029
SyntheticClustered,GrassmannHRD,2,5,67,0.193052,32.568612,12,0.029
SyntheticClustered,GrassmannHRD,2,5,68,0.721035,33.289647,13,0.030
SyntheticClustered,GrassmannHRD,2,5,69,0.237413,33.527059,13,0.031
SyntheticClustered,GrassmannHRD,2,5,70,0.316848,33.843908,13,0.031
SyntheticClustered,GrassmannHRD,2,5,71,0.846467,34.690375,13,0.031
SyntheticClustered,GrassmannHRD,2,5,72,0.466205,35.156580,13,0.031
SyntheticClustered,GrassmannHRD,2,5,73,0.386909,35.543488,13,0.031
SyntheticClustered,GrassmannHRD,2,5,74,0.904821,36.448310,13,0.031
SyntheticClustered,GrassmannHRD,2,5,75,0.519507,36.967817,13,0.032
SyntheticClustered,GrassmannHRD,2,5,76,0.245415,37.213232,13,0.032
SyntheticClustered,GrassmannHRD,2,5,77,0.627480,37.840712,13,0.032
SyntheticClustered,GrassmannHRD,2,5,78,0.722044,38.562756,13,0.032
SyntheticClustered,GrassmannHRD,2,5,79,0.229454,38.792211,13,0.032
SyntheticClustered,GrassmannHRD,2,5,80,0.617543,39.409754,13,0.032
SyntheticClustered,GrassmannHRD,2,5,81,0.626389,40.036143,13,0.033
SyntheticClustered,GrassmannHRD,2,5,82,0.433649,40.469792,13,0.033
SyntheticClustered,GrassmannHRD,2,5,83,0.567610,41.037402,13,0.033
SyntheticClustered,GrassmannHRD,2,5,84,0.492044,41.529446,13,0.033
SyntheticClustered,GrassmannHRD,2,5,85,0.253759,41.783204,14,0.034
SyntheticClustered,GrassmannHRD,2,5,86,0.868592,42.651796,14,0.034
SyntheticClustered,GrassmannHRD,2,5,87,0.678175,43.329972,14,0.035
SyntheticClustered,GrassmannHRD,2,5,88,0.315176,43.645147,14,0.035
SyntheticClustered,GrassmannHRD,2,5,89,0.498426,44.143573,14,0.035
SyntheticClustered,GrassmannHRD,2,5,90,0.565948,44.709521,14,0.035
SyntheticClustered,GrassmannHRD,2,5,91,0.185804,44.895325,17,0.038
SyntheticClustered,GrassmannHRD,2,5,92,0.627131,45.522455,17,0.038
SyntheticClustered,GrassmannHRD,2,5,93,0.626950,46.149405,17,0.039
SyntheticClustered,GrassmannHRD,2,5,94,0.294751,46.444156,17,0.039
SyntheticClustered,GrassmannHRD,2,5,95,0.666539,47.110695,17,0.039
SyntheticClustered,GrassmannHRD,2,5,96,0.457390,47.568086,17,0.040
SyntheticClustered,GrassmannHRD,2,5,97,0.563107,48.131193,17,0.040
SyntheticClustered,GrassmannHRD,2,5,98,0.656169,48.787362,17,0.040
SyntheticClustered,GrassmannHRD,2,5,99,0.335606,49.122968,19,0.042
SyntheticClustered,GrassmannHRD,2,5,100,0.350242,49.473210,19,0.043
SyntheticClustered,GrassmannHRD,2,5,101,0.660534,50.133744,19,0.043
SyntheticClustered,GrassmannHRD,2,5,102,0.750407,50.884151,19,0.043
SyntheticClustered,GrassmannHRD,2,5,103,0.214801,51.098952,19,0.044
SyntheticClustered,GrassmannHRD,2,5,104,0.331964,51.430916,19,0.044
SyntheticClustered,GrassmannHRD,2,5,105,0.372841,51.803757,19,0.044
SyntheticClustered,GrassmannHRD,2,5,106,0.250730,52.054487,19,0.044
SyntheticClustered,GrassmannHRD,2,5,107,0.828782,52.883269,19,0.044
SyntheticClustered,GrassmannHRD,2,5,108,0.381600,53.264869,19,0.044
SyntheticClustered,GrassmannHRD,2,5,109,0.238780,53.503649,21,0.046
SyntheticClustered,GrassmannHRD,2,5,110,0.592242,54.095891,21,0.047
SyntheticClustered,GrassmannHRD,2,5,111,0.464418,54.560309,21,0.047
SyntheticClustered,GrassmannHRD,2,5,112,0.252025,54.812335,21,0.047
SyntheticClustered,GrassmannHRD,2,5,113,0.593204,55.405538,21,0.047
SyntheticClustered,GrassmannHRD,2,5,114,0.341104,55.746642,22,0.048
SyntheticClustered,GrassmannHRD,2,5,115,0.408594,56.155236,22,0.048
SyntheticClustered,GrassmannHRD,2,5,116,0.712505,56.867741,22,0.049
SyntheticClustered,GrassmannHRD,2,5,117,0.503411,57.371152,22,0.049
SyntheticClustered,GrassmannHRD,2,5,118,0.474651,57.845803,22,0.049
SyntheticClustered,GrassmannHRD,2,5,119,0.802206,58.648009,22,0.049
SyntheticClustered,GrassmannHRD,2,5,120,0.577652,59.225662,22,0.050
SyntheticClustered,GrassmannHRD,2,5,121,0.187438,59.413100,22,0.050
SyntheticClustered,GrassmannHRD,2,5,122,0.721209,60.134308,22,0.050
SyntheticClustered,GrassmannHRD,2,5,123,0.610135,60.744443,22,0.050
SyntheticClustered,GrassmannHRD,2,5,124,0.288006,61.032450,22,0.051
SyntheticClustered,GrassmannHRD,2,5,125,0.787197,61.819646,22,0.051
SyntheticClustered,GrassmannHRD,2,5,126,0.433386,62.253032,22,0.051
SyntheticClustered,GrassmannHRD,2,5,127,0.702269,62.955301,22,0.051
SyntheticClustered,GrassmannHRD,2,5,128,0.617852,63.573153,22,0.052
SyntheticClustered,GrassmannHRD,2,5,129,0.367690,63.940843,23,0.053
SyntheticClustered,GrassmannHRD,2,5,130,0.246108,64.186951,23,0.053
SyntheticClustered,GrassmannHRD,2,5,131,0.337851,64.524802,23,0.053
SyntheticClustered,GrassmannHRD,2,5,132,0.699872,65.224674,23,0.054
SyntheticClustered,GrassmannHRD,2,5,133,0.448228,65.672902,23,0.054
SyntheticClustered,GrassmannHRD,2,5,134,0.700924,66.373827,23,0.054
SyntheticClustered,GrassmannHRD,2,5,135,0.513202,66.887029,23,0.054
SyntheticClustered,GrassmannHRD,2,5,136,0.294949,67.181978,23,0.054
SyntheticClustered,GrassmannHRD,2,5,137,0.407552,67.589530,23,0.055
