dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
SyntheticClustered,OfflineOptimum,2,5,0,0.117658,0.117658,1,0.000
SyntheticClustered,OfflineOptimum,2,5,1,0.112578,0.230236,1,0.000
SyntheticClustered,OfflineOptimum,2,5,2,0.312392,0.542628,1,0.000
SyntheticClustered,OfflineOptimum,2,5,3,0.390460,0.933089,1,0.000
SyntheticClustered,OfflineOptimum,2,5,4,0.250256,1.183345,1,0.000
SyntheticClustered,OfflineOptimum,2,5,5,0.227882,1.411227,1,0.000
SyntheticClustered,OfflineOptimum,2,5,6,0.020318,1.431544,1,0.000
SyntheticClustered,OfflineOptimum,2,5,7,0.419759,1.851303,1,0.000
SyntheticClustered,OfflineOptimum,2,5,8,0.306332,2.157635,1,0.000
SyntheticClustered,OfflineOptimum,2,5,9,0.217854,2.375489,1,0.000
SyntheticClustered,OfflineOptimum,2,5,10,0.347730,2.723219,1,0.000
SyntheticClustered,OfflineOptimum,2,5,11,0.618977,3.342195,1,0.000
SyntheticClustered,OfflineOptimum,2,5,12,0.034722,3.376917,1,0.000
SyntheticClustered,OfflineOptimum,2,5,13,0.112464,3.489381,1,0.000
SyntheticClustered,OfflineOptimum,2,5,14,0.120808,3.610189,1,0.000
SyntheticClustered,OfflineOptimum,2,5,15,0.093028,3.703217,1,0.000
SyntheticClustered,OfflineOptimum,2,5,16,0.184288,3.887504,1,0.000
SyntheticClustered,OfflineOptimum,2,5,17,0.533901,4.421405,1,0.000
SyntheticClustered,OfflineOptimum,2,5,18,0.029888,4.451293,1,0.000
SyntheticClustered,OfflineOptimum,2,5,19,0.172266,4.623559,1,0.000
SyntheticClustered,OfflineOptimum,2,5,20,0.417949,5.041508,1,0.000
SyntheticClustered,OfflineOptimum,2,5,21,0.220378,5.261886,1,0.000
SyntheticClustered,OfflineOptimum,2,5,22,0.502387,5.764272,1,0.000
SyntheticClustered,OfflineOptimum,2,5,23,0.046723,5.810996,1,0.000
SyntheticClustered,OfflineOptimum,2,5,24,0.646116,6.457112,1,0.000
SyntheticClustered,OfflineOptimum,2,5,25,0.398738,6.855850,1,0.000
SyntheticClustered,OfflineOptimum,2,5,26,0.334255,7.190105,1,0.000
SyntheticClustered,OfflineOptimum,2,5,27,0.294824,7.484929,1,0.000
SyntheticClustered,OfflineOptimum,2,5,28,0.280202,7.765131,1,0.000
SyntheticClustered,OfflineOptimum,2,5,29,0.487697,8.252828,1,0.000
SyntheticClustered,OfflineOptimum,2,5,30,0.085626,8.338454,1,0.000
SyntheticClustered,OfflineOptimum,2,5,31,0.183755,8.522208,1,0.000
SyntheticClustered,OfflineOptimum,2,5,32,0.341306,8.863514,1,0.000
SyntheticClustered,OfflineOptimum,2,5,33,0.041198,8.904712,1,0.000
SyntheticClustered,OfflineOptimum,2,5,34,0.280185,9.184897,1,0.000
SyntheticClustered,OfflineOptimum,2,5,35,0.155447,9.340344,1,0.000
SyntheticClustered,OfflineOptimum,2,5,36,0.020011,9.360355,1,0.000
SyntheticClustered,OfflineOptimum,2,5,37,0.456050,9.816405,1,0.000
SyntheticClustered,OfflineOptimum,2,5,38,0.354679,10.171084,1,0.000
SyntheticClustered,OfflineOptimum,2,5,39,0.226340,10.397424,1,0.000
SyntheticClustered,OfflineOptimum,2,5,40,0.343528,10.740952,1,0.000
SyntheticClustered,OfflineOptimum,2,5,41,0.200742,10.941694,1,0.000
SyntheticClustered,OfflineOptimum,2,5,42,0.528983,11.470677,1,0.000
SyntheticClustered,OfflineOptimum,2,5,43,0.280775,11.751452,1,0.000
SyntheticClustered,OfflineOptimum,2,5,44,0.290578,12.042030,1,0.000
SyntheticClustered,OfflineOptimum,2,5,45,0.605608,12.647638,1,0.000
SyntheticClustered,OfflineOptimum,2,5,46,0.361017,13.008655,1,0.000
SyntheticClustered,OfflineOptimum,2,5,47,0.401604,13.410259,1,0.000
SyntheticClustered,OfflineOptimum,2,5,48,0.110256,13.520515,1,0.000
SyntheticClustered,OfflineOptimum,2,5,49,0.115143,13.635658,1,0.000
SyntheticClustered,OfflineOptimum,2,5,50,0.085311,13.720970,1,0.001
SyntheticClustered,OfflineOptimum,2,5,51,0.371359,14.092329,1,0.001
SyntheticClustered,OfflineOptimum,2,5,52,0.494289,14.586618,1,0.001
SyntheticClustered,OfflineOptimum,2,5,53,0.028395,14.615013,1,0.001
SyntheticClustered,OfflineOptimum,2,5,54,0.013991,14.629004,1,0.001
SyntheticClustered,OfflineOptimum,2,5,55,0.227059,14.856062,1,0.001
SyntheticClustered,OfflineOptimum,2,5,56,0.163410,15.019472,1,0.001
SyntheticClustered,OfflineOptimum,2,5,57,0.280257,15.299730,1,0.001
SyntheticClustered,OfflineOptimum,2,5,58,0.547355,15.847084,1,0.001
SyntheticClustered,OfflineOptimum,2,5,59,0.118044,15.965128,1,0.001
SyntheticClustered,OfflineOptimum,2,5,60,0.043206,16.008334,1,0.001
SyntheticClustered,OfflineOptimum,2,5,61,0.739243,16.747577,1,0.001
SyntheticClustered,OfflineOptimum,2,5,62,0.099629,16.847206,1,0.001
SyntheticClustered,OfflineOptimum,2,5,63,0.352529,17.199735,1,0.001
SyntheticClustered,OfflineOptimum,2,5,64,0.415169,17.614904,1,0.001
SyntheticClustered,OfflineOptimum,2,5,65,0.654551,18.269455,1,0.001
SyntheticClustered,OfflineOptimum,2,5,66,0.409505,18.678960,1,0.001
SyntheticClustered,OfflineOptimum,2,5,67,0.682357,19.361317,1,0.001
SyntheticClustered,OfflineOptimum,2,5,68,0.164554,19.525872,1,0.001
SyntheticClustered,OfflineOptimum,2,5,69,0.218389,19.744261,1,0.001
SyntheticClustered,OfflineOptimum,2,5,70,0.456949,20.201209,1,0.001
SyntheticClustered,OfflineOptimum,2,5,71,0.330999,20.532208,1,0.001
SyntheticClustered,OfflineOptimum,2,5,72,0.269515,20.801724,1,0.001
SyntheticClustered,OfflineOptimum,2,5,73,0.429474,21.231197,1,0.001
SyntheticClustered,OfflineOptimum,2,5,74,0.467580,21.698777,1,0.001
SyntheticClustered,OfflineOptimum,2,5,75,0.243970,21.942747,1,0.001
SyntheticClustered,OfflineOptimum,2,5,76,0.396391,22.339138,1,0.001
SyntheticClustered,OfflineOptimum,2,5,77,0.198268,22.537406,1,0.001
SyntheticClustered,OfflineOptimum,2,5,78,0.256874,22.794280,1,0.001
SyntheticClustered,OfflineOptimum,2,5,79,0.239469,23.033749,1,0.001
SyntheticClustered,OfflineOptimum,2,5,80,0.234391,23.268140,1,0.001
SyntheticClustered,OfflineOptimum,2,5,81,0.228757,23.496898,1,0.001
SyntheticClustered,OfflineOptimum,2,5,82,0.373917,23.870814,1,0.001
SyntheticClustered,OfflineOptimum,2,5,83,0.217729,24.088543,1,0.001
SyntheticClustered,OfflineOptimum,2,5,84,0.164478,24.253021,1,0.001
SyntheticClustered,OfflineOptimum,2,5,85,0.436031,24.689053,1,0.001
SyntheticClustered,OfflineOptimum,2,5,86,0.643759,25.332812,1,0.001
SyntheticClustered,OfflineOptimum,2,5,87,0.158058,25.490870,1,0.001
SyntheticClustered,OfflineOptimum,2,5,88,0.537275,26.028145,1,0.001
SyntheticClustered,OfflineOptimum,2,5,89,0.684331,26.712476,1,0.001
SyntheticClustered,OfflineOptimum,2,5,90,0.097444,26.809920,1,0.001
SyntheticClustered,OfflineOptimum,2,5,91,0.251386,27.061306,1,0.001
SyntheticClustered,OfflineOptimum,2,5,92,0.247814,27.309121,1,0.001
