dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
SyntheticClustered,StreamingSVD,2,5,0,0.903557,0.903557,1,0.000
SyntheticClustered,StreamingSVD,2,5,1,0.179473,1.083030,1,0.000
SyntheticClustered,StreamingSVD,2,5,2,0.597995,1.681025,1,0.000
SyntheticClustered,StreamingSVD,2,5,3,0.890285,2.571310,1,0.000
SyntheticClustered,StreamingSVD,2,5,4,0.377804,2.949114,1,0.000
SyntheticClustered,StreamingSVD,2,5,5,0.360199,3.309313,1,0.000
SyntheticClustered,StreamingSVD,2,5,6,0.128992,3.438306,1,0.000
SyntheticClustered,StreamingSVD,2,5,7,0.489050,3.927356,1,0.000
SyntheticClustered,StreamingSVD,2,5,8,0.245511,4.172867,1,0.000
SyntheticClustered,StreamingSVD,2,5,9,0.306121,4.478988,1,0.000
SyntheticClustered,StreamingSVD,2,5,10,0.278400,4.757388,1,0.000
SyntheticClustered,StreamingSVD,2,5,11,0.679828,5.437216,1,0.000
SyntheticClustered,StreamingSVD,2,5,12,0.179455,5.616672,1,0.000
SyntheticClustered,StreamingSVD,2,5,13,0.050549,5.667220,1,0.000
SyntheticClustered,StreamingSVD,2,5,14,0.147841,5.815062,1,0.000
SyntheticClustered,StreamingSVD,2,5,15,0.173686,5.988747,1,0.000
SyntheticClustered,StreamingSVD,2,5,16,0.197741,6.186488,1,0.000
SyntheticClustered,StreamingSVD,2,5,17,0.568376,6.754864,1,0.001
SyntheticClustered,StreamingSVD,2,5,18,0.047783,6.802647,1,0.001
SyntheticClustered,StreamingSVD,2,5,19,0.158035,6.960682,1,0.001
SyntheticClustered,StreamingSVD,2,5,20,0.345530,7.306212,1,0.001
SyntheticClustered,StreamingSVD,2,5,21,0.171366,7.477578,1,0.001
SyntheticClustered,StreamingSVD,2,5,22,0.478825,7.956403,1,0.001
SyntheticClustered,StreamingSVD,2,5,23,0.018791,7.975194,1,0.001
SyntheticClustered,StreamingSVD,2,5,24,0.466483,8.441677,1,0.001
SyntheticClustered,StreamingSVD,2,5,25,0.273389,8.715066,1,0.001
SyntheticClustered,StreamingSVD,2,5,26,0.226041,8.941108,1,0.001
SyntheticClustered,StreamingSVD,2,5,27,0.305821,9.246929,1,0.001
SyntheticClustered,StreamingSVD,2,5,28,0.310495,9.557424,1,0.001
SyntheticClustered,StreamingSVD,2,5,29,0.284712,9.842136,1,0.001
SyntheticClustered,StreamingSVD,2,5,30,0.184248,10.026384,1,0.001
SyntheticClustered,StreamingSVD,2,5,31,0.165766,10.192150,1,0.001
SyntheticClustered,StreamingSVD,2,5,32,0.396752,10.588902,1,0.001
SyntheticClustered,StreamingSVD,2,5,33,0.119885,10.708787,1,0.001
SyntheticClustered,StreamingSVD,2,5,34,0.229386,10.938173,1,0.001
SyntheticClustered,StreamingSVD,2,5,35,0.248935,11.187109,1,0.001
SyntheticClustered,StreamingSVD,2,5,36,0.021434,11.208542,1,0.001
SyntheticClustered,StreamingSVD,2,5,37,0.394786,11.603328,1,0.001
SyntheticClustered,StreamingSVD,2,5,38,0.507449,12.110777,1,0.001
SyntheticClustered,StreamingSVD,2,5,39,0.383921,12.494698,1,0.001
SyntheticClustered,StreamingSVD,2,5,40,0.363121,12.857819,1,0.001
SyntheticClustered,StreamingSVD,2,5,41,0.255797,13.113615,1,0.001
SyntheticClustered,StreamingSVD,2,5,42,0.619435,13.733050,1,0.001
SyntheticClustered,StreamingSVD,2,5,43,0.342420,14.075470,1,0.001
SyntheticClustered,StreamingSVD,2,5,44,0.283738,14.359208,1,0.001
SyntheticClustered,StreamingSVD,2,5,45,0.625047,14.984255,1,0.001
SyntheticClustered,StreamingSVD,2,5,46,0.352611,15.336867,1,0.001
SyntheticClustered,StreamingSVD,2,5,47,0.357402,15.694268,1,0.001
SyntheticClustered,StreamingSVD,2,5,48,0.201093,15.895361,1,0.001
SyntheticClustered,StreamingSVD,2,5,49,0.200617,16.095979,1,0.001
SyntheticClustered,StreamingSVD,2,5,50,0.109803,16.205781,1,0.001
SyntheticClustered,StreamingSVD,2,5,51,0.234219,16.440001,1,0.001
SyntheticClustered,StreamingSVD,2,5,52,0.435502,16.875503,1,0.001
SyntheticClustered,StreamingSVD,2,5,53,0.013087,16.888590,1,0.001
SyntheticClustered,StreamingSVD,2,5,54,0.092357,16.980947,1,0.001
SyntheticClustered,StreamingSVD,2,5,55,0.260347,17.241294,1,0.001
SyntheticClustered,StreamingSVD,2,5,56,0.243937,17.485231,1,0.001
SyntheticClustered,StreamingSVD,2,5,57,0.441829,17.927060,1,0.001
SyntheticClustered,StreamingSVD,2,5,58,0.670527,18.597587,1,0.001
SyntheticClustered,StreamingSVD,2,5,59,0.081787,18.679373,1,0.001
SyntheticClustered,StreamingSVD,2,5,60,0.026090,18.705463,1,0.001
SyntheticClustered,StreamingSVD,2,5,61,0.806835,19.512299,1,0.002
SyntheticClustered,StreamingSVD,2,5,62,0.175194,19.687493,1,0.002
SyntheticClustered,StreamingSVD,2,5,63,0.488499,20.175992,1,0.002
SyntheticClustered,StreamingSVD,2,5,64,0.433301,20.609293,1,0.002
SyntheticClustered,StreamingSVD,2,5,65,0.674981,21.284274,1,0.002
SyntheticClustered,StreamingSVD,2,5,66,0.491865,21.776140,1,0.002
SyntheticClustered,StreamingSVD,2,5,67,0.692716,22.468856,1,0.002
SyntheticClustered,StreamingSVD,2,5,68,0.188560,22.657417,1,0.002
SyntheticClustered,StreamingSVD,2,5,69,0.314377,22.971793,1,0.002
SyntheticClustered,StreamingSVD,2,5,70,0.410940,23.382733,1,0.002
SyntheticClustered,StreamingSVD,2,5,71,0.314009,23.696742,1,0.002
SyntheticClustered,StreamingSVD,2,5,72,0.293594,23.990335,1,0.002
SyntheticClustered,StreamingSVD,2,5,73,0.391371,24.381706,1,0.002
SyntheticClustered,StreamingSVD,2,5,74,0.444929,24.826635,1,0.002
SyntheticClustered,StreamingSVD,2,5,75,0.216197,25.042832,1,0.002
SyntheticClustered,StreamingSVD,2,5,76,0.376562,25.419395,1,0.002
SyntheticClustered,StreamingSVD,2,5,77,0.170167,25.589562,1,0.002
SyntheticClustered,StreamingSVD,2,5,78,0.368142,25.957704,1,0.002
SyntheticClustered,StreamingSVD,2,5,79,0.228916,26.186620,1,0.002
SyntheticClustered,StreamingSVD,2,5,80,0.193390,26.380010,1,0.002
SyntheticClustered,StreamingSVD,2,5,81,0.285715,26.665725,1,0.002
SyntheticClustered,StreamingSVD,2,5,82,0.450885,27.116610,1,0.002
SyntheticClustered,StreamingSVD,2,5,83,0.217566,27.334177,1,0.002
SyntheticClustered,StreamingSVD,2,5,84,0.138896,27.473072,1,0.002
SyntheticClustered,StreamingSVD,2,5,85,0.456352,27.929425,1,0.002
SyntheticClustered,StreamingSVD,2,5,86,0.617747,28.547172,1,0.002
SyntheticClustered,StreamingSVD,2,5,87,0.146072,28.693243,1,0.002
SyntheticClustered,StreamingSVD,2,5,88,0.546026,29.239269,1,0.002
SyntheticClustered,StreamingSVD,2,5,89,0.763603,30.002872,1,0.002
SyntheticClustered,StreamingSVD,2,5,90,0.116623,30.119495,1,0.002
SyntheticClustered,StreamingSVD,2,5,91,0.250230,30.369726,1,0.002
SyntheticClustered,StreamingSVD,2,5,92,0.285590,30.655316,1,0.002
SyntheticClustered,StreamingSVD,2,5,93,0.097664,30.752980,1,0.002
SyntheticClustered,StreamingSVD,2,5,94,0.084217,30.837197,1,0.002
SyntheticClustered,StreamingSVD,2,5,95,0.186641,31.023838,1,0.002
SyntheticClustered,StreamingSVD,2,5,96,0.428198,31.452035,1,0.002
SyntheticClustered,StreamingSVD,2,5,97,0.441119,31.893155,1,0.002
SyntheticClustered,StreamingSVD,2,5,98,0.492043,32.385198,1,0.002
SyntheticClustered,StreamingSVD,2,5,99,0.174876,32.560074,1,0.002
