dataset,algorithm,k,d,step,instantaneous_loss,cumulative_loss,n_leaves,elapsed_s
SyntheticOptimal,FantopeOGD,2,5,0,1.000000,1.000000,1,0.000
SyntheticOptimal,FantopeOGD,2,5,1,1.000000,2.000000,1,0.000
SyntheticOptimal,FantopeOGD,2,5,2,1.000000,3.000000,1,0.000
SyntheticOptimal,FantopeOGD,2,5,3,1.000000,4.000000,1,0.000
SyntheticOptimal,FantopeOGD,2,5,4,1.000000,5.000000,1,0.000
SyntheticOptimal,FantopeOGD,2,5,5,1.000000,6.000000,1,0.000
SyntheticOptimal,FantopeOGD,2,5,6,1.000000,7.000000,1,0.000
SyntheticOptimal,FantopeOGD,2,5,7,1.000000,8.000000,1,0.000
SyntheticOptimal,FantopeOGD,2,5,8,1.000000,9.000000,1,0.000
SyntheticOptimal,FantopeOGD,2,5,9,1.000000,10.000000,1,0.000
SyntheticOptimal,FantopeOGD,2,5,10,0.360000,10.360000,1,0.005
SyntheticOptimal,FantopeOGD,2,5,11,0.360170,10.720170,1,0.005
SyntheticOptimal,FantopeOGD,2,5,12,0.336898,11.057068,1,0.006
SyntheticOptimal,FantopeOGD,2,5,13,0.329369,11.386438,1,0.006
SyntheticOptimal,FantopeOGD,2,5,14,0.308461,11.694899,1,0.006
SyntheticOptimal,FantopeOGD,2,5,15,0.344467,12.039366,1,0.007
SyntheticOptimal,FantopeOGD,2,5,16,0.354550,12.393916,1,0.007
SyntheticOptimal,FantopeOGD,2,5,17,0.336456,12.730372,1,0.007
SyntheticOptimal,FantopeOGD,2,5,18,0.315947,13.046319,1,0.008
SyntheticOptimal,FantopeOGD,2,5,19,0.297763,13.344082,1,0.008
SyntheticOptimal,FantopeOGD,2,5,20,0.282061,13.626142,1,0.008
SyntheticOptimal,FantopeOGD,2,5,21,0.290553,13.916695,1,0.009
SyntheticOptimal,FantopeOGD,2,5,22,0.310500,14.227195,1,0.009
SyntheticOptimal,FantopeOGD,2,5,23,0.268869,14.496063,1,0.010
SyntheticOptimal,FantopeOGD,2,5,24,0.273617,14.769681,1,0.010
SyntheticOptimal,FantopeOGD,2,5,25,0.287930,15.057610,1,0.011
SyntheticOptimal,FantopeOGD,2,5,26,0.244338,15.301948,1,0.011
SyntheticOptimal,FantopeOGD,2,5,27,0.288998,15.590947,1,0.011
SyntheticOptimal,FantopeOGD,2,5,28,0.272607,15.863553,1,0.012
SyntheticOptimal,FantopeOGD,2,5,29,0.251176,16.114729,1,0.012
SyntheticOptimal,FantopeOGD,2,5,30,0.257054,16.371784,1,0.013
SyntheticOptimal,FantopeOGD,2,5,31,0.248230,16.620013,1,0.013
SyntheticOptimal,FantopeOGD,2,5,32,0.240184,16.860197,1,0.013
SyntheticOptimal,FantopeOGD,2,5,33,0.236801,17.096998,1,0.013
SyntheticOptimal,FantopeOGD,2,5,34,0.224241,17.321239,1,0.014
SyntheticOptimal,FantopeOGD,2,5,35,0.222990,17.544229,1,0.014
SyntheticOptimal,FantopeOGD,2,5,36,0.223185,17.767414,1,0.014
SyntheticOptimal,FantopeOGD,2,5,37,0.224739,17.992154,1,0.014
SyntheticOptimal,FantopeOGD,2,5,38,0.205630,18.197784,1,0.015
SyntheticOptimal,FantopeOGD,2,5,39,0.217659,18.415443,1,0.015
SyntheticOptimal,FantopeOGD,2,5,40,0.198742,18.614186,1,0.016
SyntheticOptimal,FantopeOGD,2,5,41,0.207904,18.822089,1,0.016
SyntheticOptimal,FantopeOGD,2,5,42,0.189812,19.011901,1,0.017
SyntheticOptimal,FantopeOGD,2,5,43,0.201044,19.212945,1,0.017
SyntheticOptimal,FantopeOGD,2,5,44,0.186905,19.399850,1,0.017
SyntheticOptimal,FantopeOGD,2,5,45,0.176513,19.576362,1,0.018
SyntheticOptimal,FantopeOGD,2,5,46,0.175660,19.752022,1,0.018
SyntheticOptimal,FantopeOGD,2,5,47,0.183496,19.935518,1,0.019
SyntheticOptimal,FantopeOGD,2,5,48,0.160453,20.095971,1,0.019
SyntheticOptimal,FantopeOGD,2,5,49,0.164596,20.260567,1,0.019
SyntheticOptimal,FantopeOGD,2,5,50,0.147168,20.407735,1,0.020
SyntheticOptimal,FantopeOGD,2,5,51,0.173204,20.580939,1,0.021
SyntheticOptimal,FantopeOGD,2,5,52,0.175395,20.756334,1,0.021
SyntheticOptimal,FantopeOGD,2,5,53,0.143625,20.899959,1,0.021
SyntheticOptimal,FantopeOGD,2,5,54,0.155947,21.055906,1,0.022
SyntheticOptimal,FantopeOGD,2,5,55,0.128872,21.184777,1,0.022
SyntheticOptimal,FantopeOGD,2,5,56,0.146752,21.331529,1,0.023
SyntheticOptimal,FantopeOGD,2,5,57,0.175640,21.507169,1,0.023
SyntheticOptimal,FantopeOGD,2,5,58,0.153107,21.660276,1,0.023
SyntheticOptimal,FantopeOGD,2,5,59,0.163341,21.823617,1,0.024
SyntheticOptimal,FantopeOGD,2,5,60,0.147799,21.971416,1,0.024
SyntheticOptimal,FantopeOGD,2,5,61,0.127649,22.099065,1,0.025
SyntheticOptimal,FantopeOGD,2,5,62,0.118725,22.217790,1,0.025
SyntheticOptimal,FantopeOGD,2,5,63,0.141849,22.359639,1,0.025
SyntheticOptimal,FantopeOGD,2,5,64,0.114816,22.474455,1,0.026
SyntheticOptimal,FantopeOGD,2,5,65,0.133875,22.608330,1,0.026
SyntheticOptimal,FantopeOGD,2,5,66,0.130322,22.738652,1,0.027
SyntheticOptimal,FantopeOGD,2,5,67,0.105742,22.844394,1,0.027
SyntheticOptimal,FantopeOGD,2,5,68,0.132664,22.977058,1,0.027
SyntheticOptimal,FantopeOGD,2,5,69,0.135449,23.112506,1,0.028
SyntheticOptimal,FantopeOGD,2,5,70,0.125397,23.237903,1,0.028
SyntheticOptimal,FantopeOGD,2,5,71,0.123524,23.361426,1,0.028
SyntheticOptimal,FantopeOGD,2,5,72,0.116481,23.477907,1,0.029
SyntheticOptimal,FantopeOGD,2,5,73,0.103875,23.581782,1,0.029
SyntheticOptimal,FantopeOGD,2,5,74,0.100249,23.682030,1,0.029
SyntheticOptimal,FantopeOGD,2,5,75,0.113809,23.795839,1,0.029
SyntheticOptimal,FantopeOGD,2,5,76,0.095104,23.890944,1,0.030
SyntheticOptimal,FantopeOGD,2,5,77,0.094771,23.985714,1,0.030
SyntheticOptimal,FantopeOGD,2,5,78,0.091369,24.077084,1,0.031
SyntheticOptimal,FantopeOGD,2,5,79,0.084456,24.161540,1,0.031
SyntheticOptimal,FantopeOGD,2,5,80,0.110458,24.271998,1,0.031
SyntheticOptimal,FantopeOGD,2,5,81,0.104732,24.376730,1,0.032
SyntheticOptimal,FantopeOGD,2,5,82,0.082776,24.459506,1,0.032
SyntheticOptimal,FantopeOGD,2,5,83,0.092545,24.552050,1,0.032
SyntheticOptimal,FantopeOGD,2,5,84,0.089424,24.641475,1,0.033
SyntheticOptimal,FantopeOGD,2,5,85,0.075687,24.717162,1,0.033
SyntheticOptimal,FantopeOGD,2,5,86,0.091808,24.808970,1,0.034
SyntheticOptimal,FantopeOGD,2,5,87,0.079897,24.888867,1,0.034
SyntheticOptimal,FantopeOGD,2,5,88,0.089961,24.978829,1,0.034
SyntheticOptimal,FantopeOGD,2,5,89,0.074888,25.053717,1,0.035
SyntheticOptimal,FantopeOGD,2,5,90,0.068638,25.122355,1,0.035
SyntheticOptimal,FantopeOGD,2,5,91,0.078918,25.201273,1,0.035
SyntheticOptimal,FantopeOGD,2,5,92,0.064245,25.265518,1,0.036
SyntheticOptimal,FantopeOGD,2,5,93,0.061958,25.327476,1,0.036
SyntheticOptimal,FantopeOGD,2,5,94,0.086860,25.414336,1,0.036
SyntheticOptimal,FantopeOGD,2,5,95,0.058692,25.473028,1,0.037
SyntheticOptimal,FantopeOGD,2,5,96,0.055033,25.528061,1,0.037
SyntheticOptimal,FantopeOGD,2,5,97,0.057500,25.585561,1,0.037
SyntheticOptimal,FantopeOGD,2,5,98,0.080574,25.666136,1,0.038
SyntheticOptimal,FantopeOGD,2,5,99,0.050500,25.716635,1,0.038
SyntheticOptimal,FantopeOGD,2,5,100,0.052679,25.769314,1,0.038
SyntheticOptimal,FantopeOGD,2,5,101,0.082704,25.852018,1,0.039
SyntheticOptimal,FantopeOGD,2,5,102,0.047176,25.899195,1,0.039
SyntheticOptimal,FantopeOGD,2,5,103,0.081131,25.980325,1,0.039
SyntheticOptimal,FantopeOGD,2,5,104,0.076065,26.056390,1,0.040
SyntheticOptimal,FantopeOGD,2,5,105,0.049143,26.105533,1,0.040
SyntheticOptimal,FantopeOGD,2,5,106,0.070229,26.175762,1,0.040
SyntheticOptimal,FantopeOGD,2,5,107,0.062117,26.237879,1,0.041
SyntheticOptimal,FantopeOGD,2,5,108,0.062884,26.300763,1,0.041
SyntheticOptimal,FantopeOGD,2,5,109,0.052526,26.353288,1,0.041
SyntheticOptimal,FantopeOGD,2,5,110,0.054076,26.407365,1,0.041
SyntheticOptimal,FantopeOGD,2,5,111,0.043345,26.450710,1,0.042
SyntheticOptimal,FantopeOGD,2,5,112,0.056061,26.506771,1,0.042
SyntheticOptimal,FantopeOGD,2,5,113,0.061415,26.568185,1,0.042
SyntheticOptimal,FantopeOGD,2,5,114,0.055006,26.623191,1,0.043
SyntheticOptimal,FantopeOGD,2,5,115,0.053398,26.676588,1,0.043
SyntheticOptimal,FantopeOGD,2,5,116,0.045555,26.722144,1,0.043
SyntheticOptimal,FantopeOGD,2,5,117,0.039918,26.762062,1,0.043
SyntheticOptimal,FantopeOGD,2,5,118,0.055485,26.817546,1,0.044
SyntheticOptimal,FantopeOGD,2,5,119,0.041887,26.859434,1,0.044
SyntheticOptimal,FantopeOGD,2,5,120,0.046124,26.905558,1,0.044
SyntheticOptimal,FantopeOGD,2,5,121,0.049724,26.955282,1,0.044
SyntheticOptimal,FantopeOGD,2,5,122,0.035948,26.991230,1,0.045
SyntheticOptimal,FantopeOGD,2,5,123,0.045266,27.036496,1,0.045
SyntheticOptimal,FantopeOGD,2,5,124,0.042380,27.078876,1,0.046
SyntheticOptimal,FantopeOGD,2,5,125,0.035026,27.113902,1,0.046
SyntheticOptimal,FantopeOGD,2,5,126,0.046158,27.160060,1,0.047
SyntheticOptimal,FantopeOGD,2,5,127,0.042289,27.202349,1,0.047
SyntheticOptimal,FantopeOGD,2,5,128,0.042578,27.244927,1,0.048
SyntheticOptimal,FantopeOGD,2,5,129,0.039994,27.284921,1,0.048
SyntheticOptimal,FantopeOGD,2,5,130,0.037964,27.322884,1,0.049
SyntheticOptimal,FantopeOGD,2,5,131,0.038409,27.361294,1,0.049
